INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
American Broadcasting School-Online Program,NULL,10084,27300,23900,20100
Springfield College-School of Professional and Continuing Studies,NULL,NULL,43800,40100,36400
Marian Health Careers Center-Van Nuys Campus,NULL,20767,50700,48500,44900
Sanford-Brown College-Brooklyn Center,NULL,21309,31700,29300,24900
Milan Institute-Las Vegas,NULL,19908,15100,17200,15700
Virginia College-Savannah,NULL,16826,25300,22000,20100
Virginia College-Columbus,NULL,16490,25300,22000,20100
Donna's Academy of Hair Design,NULL,10355,NULL,NULL,NULL
New York School of Esthetics & Day Spa,NULL,13888,NULL,NULL,NULL
Panache Academy of Beauty,NULL,10688,NULL,NULL,NULL
ASI Career Institute,NULL,11518,NULL,NULL,NULL
Midwest Technical Institute-Ridgeland,NULL,21284,29800,24400,20600
Christine Valmy International School of Esthetics & Cosmetology,NULL,13499,NULL,NULL,NULL
City College-Hollywood,NULL,23579,25900,26000,24800
Paul Mitchell the School-Arlington,NULL,17107,23200,25600,22000
Rocky Mountain University of Health Professions,NULL,NULL,NULL,NULL,NULL
MediaTech Institute-Oceanside,NULL,33238,NULL,NULL,NULL
Christie's Education,NULL,NULL,NULL,NULL,NULL
Prince Institute-Great Lakes,NULL,20346,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Palmetto Beauty School,NULL,19226,NULL,NULL,NULL
Paul Mitchell the School-Fort Myers,NULL,13585,PrivacySuppressed,PrivacySuppressed,13100
Paul Mitchell The School-Raleigh,NULL,15554,NULL,NULL,NULL
Stella and Charles Guttman Community College,3621,NULL,NULL,NULL,NULL
Lil Lou's Barber College,NULL,8214,NULL,NULL,NULL
Bryan University,NULL,16481,24900,22000,17100
Virginia College-Tulsa,NULL,15336,25300,22000,20100
Criswell College,NULL,18847,NULL,NULL,NULL
Virginia College-Knoxville,NULL,16863,25300,22000,20100
Columbia Academy of Cosmetology,NULL,27855,PrivacySuppressed,PrivacySuppressed,15700
Academy of Couture Art,NULL,28945,NULL,NULL,NULL
Global Institute,NULL,5638,NULL,NULL,NULL
Reflections Academy of Beauty,NULL,10879,NULL,NULL,NULL
University of Cosmetology Arts & Sciences-La Joya,NULL,9583,15000,14300,13900
Preferred College of Nursing-Van Nuys,NULL,11494,NULL,NULL,NULL
Bryant & Stratton College-Akron,NULL,16240,22400,21500,20500
Annenberg School of Nursing,NULL,18330,NULL,NULL,NULL
American Medical Academy,NULL,NULL,NULL,NULL,NULL
Chamberlain College of Nursing-Georgia,NULL,30176,52600,54000,61300
Chamberlain College of Nursing-Indiana,NULL,26339,52600,54000,61300
Carrington College-Mesquite,NULL,17690,25000,24800,23500
Sessions College for Professional Design,NULL,12352,NULL,NULL,NULL
Virginia College-Shreveport Bossier City,NULL,17644,25300,22000,20100
Tulsa Welding School-Jacksonville,NULL,20967,36100,33200,31900
Regency Beauty Institute-Hoover,NULL,19493,21500,20700,18600
Regency Beauty Institute-San Antonio,NULL,19152,21500,20700,18600
Regency Beauty Institute-Carrollwood,NULL,22044,21500,20700,18600
Regency Beauty Institute-Clearwater,NULL,22755,21500,20700,18600
Regency Beauty Institute-Newport News,NULL,20066,21500,20700,18600
Regency Beauty Institute-Lewisville,NULL,19272,21500,20700,18600
Regency Beauty Institute-Dallas,NULL,19522,21500,20700,18600
Regency Beauty Institute-Plano,NULL,20898,21500,20700,18600
Empire Beauty School-Virginia Beach,NULL,14192,23000,19000,19200
Ross Medical Education Center-Morgantown,NULL,18101,24000,22100,18000
Paul Mitchell the School-Ogden,NULL,14509,PrivacySuppressed,PrivacySuppressed,18600
Everest Institute-Bensalem,NULL,22236,24600,22100,19700
Golf Academy of America-Farmers Branch,NULL,22626,25300,22000,20100
Utah College of Massage Therapy-Dallas,NULL,19116,23800,23000,19600
Miami Ad School-New York,NULL,NULL,70200,72700,62400
Dade Medical College-West Palm Beach,NULL,21986,PrivacySuppressed,17300,16900
Dade Medical College-Jacksonville,NULL,21134,PrivacySuppressed,17300,16900
WestMed College,NULL,27314,NULL,NULL,NULL
Larry's Barber College,NULL,8015,NULL,NULL,NULL
Futura Career Institute,NULL,9139,NULL,NULL,NULL
Access Careers,NULL,NULL,NULL,NULL,NULL
Flair Beauty College,NULL,8081,NULL,NULL,NULL
Eternity Cosmetology School,NULL,12471,NULL,NULL,NULL
Tri-State Institute of Hair Design,NULL,17110,NULL,NULL,NULL
Vogue College of Cosmetology-San Antonio Fredericksburg,NULL,13091,NULL,NULL,NULL
Vogue College of Cosmetology,NULL,9236,NULL,NULL,NULL
Tomorrow's Image Barber Academy of Virginia,NULL,11684,NULL,NULL,NULL
Excel Learning Center,NULL,11921,NULL,NULL,NULL
College of International Esthetics Inc,NULL,15767,NULL,NULL,NULL
Medical Allied Career Center,NULL,24198,NULL,NULL,NULL
Bais HaMedrash and Mesivta of Baltimore,NULL,10675,NULL,NULL,NULL
Long Island Barber Institute,NULL,13884,NULL,NULL,NULL
Salon Institute-Toledo Campus,NULL,14827,NULL,NULL,NULL
American Institute of Medical Sonography,NULL,32117,NULL,NULL,NULL
Curve Metric School of Hair Design,NULL,4361,NULL,NULL,NULL
Athena Career Academy,NULL,19814,NULL,NULL,NULL
Yeshiva Gedolah Zichron Leyma,NULL,2450,NULL,NULL,NULL
The Barber School,NULL,14758,NULL,NULL,NULL
Be'er Yaakov Talmudic Seminary,NULL,5784,NULL,NULL,NULL
RGV Careers,NULL,18750,NULL,NULL,NULL
Alexander Academy,NULL,21629,NULL,NULL,NULL
LeMelange Academy of Hair,NULL,NULL,NULL,NULL,NULL
Aveda Institute-Tucson,NULL,15019,NULL,NULL,NULL
Velvet Touch Academy of Cosmetology,NULL,12583,NULL,NULL,NULL
Ambiance Beauty & Barber Academy Inc,NULL,18840,NULL,NULL,NULL
Diamond Beauty College,NULL,NULL,NULL,NULL,NULL
Unitek College,NULL,NULL,NULL,NULL,NULL
University Academy of Hair Design,NULL,8961,NULL,NULL,NULL
Florida Institute of Recording Sound and Technology,NULL,NULL,NULL,NULL,NULL
New Dimensions Beauty Academy Inc,NULL,13929,NULL,NULL,NULL
Jolei's Hair Institute,NULL,10145,NULL,NULL,NULL
Paul Mitchell the School-Reno,NULL,16463,NULL,NULL,NULL
Boise Barber College,NULL,14954,NULL,NULL,NULL
Austin Kade Academy,NULL,14811,NULL,NULL,NULL
Aesthetic Science Institute,NULL,8172,NULL,NULL,NULL
Elaine Sterling Institute,NULL,27945,NULL,NULL,NULL
Wade Gordon Hairdressing Academy,NULL,20010,NULL,NULL,NULL
Mitsu Sato Hair Academy,NULL,12587,NULL,NULL,NULL
SAE Institute of Technology-Los Angeles,NULL,30054,NULL,NULL,NULL
Florida Vocational Institute,NULL,NULL,NULL,NULL,NULL
SAE Institute of Technology-Atlanta,NULL,22598,NULL,NULL,NULL
Academy di Firenze,NULL,8991,NULL,NULL,NULL
SAE Institute of Technology-Miami,NULL,20298,NULL,NULL,NULL
Colorado State University-Global Campus,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Overland Park,NULL,14312,NULL,NULL,NULL
Medspa Academies,NULL,13150,NULL,NULL,NULL
Brighton Institute of Cosmetology,NULL,7598,NULL,NULL,NULL
West Coast University-Dallas,NULL,40773,PrivacySuppressed,52100,83200
Stevens-Henager College,NULL,23199,28500,25500,24900
National American University-Bellevue,NULL,NULL,36100,31100,27100
National American University-Burnsville,NULL,NULL,36100,31100,27100
National American University-Mesquite,NULL,NULL,36100,31100,27100
Empire Beauty School-Savannah,NULL,13855,17800,21700,PrivacySuppressed
Ogle School Hair Skin Nails-Denton,NULL,17421,20800,20300,17200
Empire Beauty School-West Greensboro,NULL,14060,21700,18800,17100
California College San Diego,NULL,24416,NULL,NULL,NULL
Old Town Barber College-Topeka,NULL,15641,PrivacySuppressed,14000,12300
Jolie Hair and Beauty Academy-Northfield,NULL,13787,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Hays Academy of Hair Design,NULL,9769,PrivacySuppressed,14800,15900
Bellus Academy,NULL,22242,17500,18800,22100
Cortiva Institute-Seattle,NULL,20884,31300,25100,24800
MotoRing Technical Training Institute,NULL,15922,28800,27500,24300
Leon Studio One School of Hair Design & Career Training Center,NULL,23719,17500,18300,18600
Columbia College,NULL,6318,NULL,NULL,NULL
Unitek College,NULL,NULL,NULL,NULL,NULL
ITT Technical Institute-Philadelphia,NULL,22753,38800,33900,29300
ITT Technical Institute-Marlton,NULL,22770,38800,33900,29300
ITT Technical Institute-Germantown,NULL,NULL,38800,33900,29300
ITT Technical Institute-Southfield,NULL,NULL,38800,33900,29300
ITT Technical Institute-West Palm Beach,NULL,23699,38800,33900,29300
ITT Technical Institute-Salem,NULL,23288,38800,33900,29300
ITT Technical Institute-Deerfield Beach,NULL,NULL,38800,33900,29300
ITT Technical Institute-Indianapolis East,NULL,24561,38800,33900,29300
ITT Technical Institute-Douglasville,NULL,23666,38800,33900,29300
ITT Technical Institute-Overland Park,NULL,24426,38800,33900,29300
ITT Technical Institute-Springfield,NULL,23619,38800,33900,29300
ITT Technical Institute-West Chester,NULL,NULL,38800,33900,29300
Pennsylvania State University-World Campus,22264,NULL,47700,42700,37500
Medical Career Institute,NULL,6485,NULL,NULL,NULL
Advance Beauty Techs Academy,NULL,12987,NULL,NULL,NULL
Montage Academy,NULL,15286,NULL,NULL,NULL
Brand College,NULL,NULL,NULL,NULL,NULL
Hinton Barber and Beauty College,NULL,9170,NULL,NULL,NULL
Advanced Career Institute,NULL,12471,NULL,NULL,NULL
Digital Film Academy,NULL,20118,NULL,NULL,NULL
MyComputerCareer.com-Raleigh,NULL,29617,NULL,NULL,NULL
Kaplan University-Augusta Campus,NULL,15487,NULL,NULL,NULL
South University-Austin,NULL,28001,28800,31200,31300
South University-Cleveland,NULL,23567,28800,31200,31300
Bryant & Stratton College-Online,NULL,13253,22400,21500,20500
Virginia College-Florence,NULL,15339,25300,22000,20100
Ogle School Hair Skin Nails-San Antonio,NULL,22487,20800,20300,17200
Elizabethtown College School of Continuing and Professional Studies,NULL,NULL,48000,45800,40900
Fortis College-Cutler Bay,NULL,15869,21200,19100,18100
Ideal Beauty Academy,NULL,12272,NULL,NULL,NULL
Minnesota School of Cosmetology-Plymouth Campus,NULL,14483,PrivacySuppressed,PrivacySuppressed,20300
Mercyhurst University-North East Campus,NULL,13448,39500,35400,30500
Warner Pacific College Adult Degree Program,NULL,19538,34700,34700,32900
Platt College-Riverside,NULL,30410,29600,29000,23900
Savannah Law School,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Glen Burnie,NULL,13395,19900,16800,18000
Everest College-Woodbridge,NULL,25097,NULL,NULL,NULL
Everest College-Kansas City,NULL,24325,NULL,NULL,NULL
International School of Cosmetology-Toni & Guy Hairdressing Academy,NULL,14761,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
InterCoast Career Institute-Salem,NULL,27434,22900,20700,16800
American National University-Canton,NULL,18731,21900,19100,17600
Vatterott College-Fairview Heights,NULL,18868,25400,24400,21900
Ross Medical Education Center-Dayton,NULL,18216,26900,24700,24800
Ross Medical Education Center-Ontario,NULL,17817,NULL,NULL,NULL
Ross Medical Education Center-Bowling Green,NULL,18661,NULL,NULL,NULL
Florida Institute of Technology-Online,NULL,NULL,55200,45300,38200
Rasmussen College-Kansas,NULL,17889,NULL,NULL,NULL
Columbia Institute,NULL,7145,NULL,NULL,NULL
School of Missionary Aviation Technology,NULL,14246,NULL,NULL,NULL
Ace Cosmetology and Barber Training Center,NULL,9942,NULL,NULL,NULL
Manthano Christian College,NULL,NULL,NULL,NULL,NULL
California Miramar University,NULL,NULL,NULL,NULL,NULL
Rocky Vista University,NULL,NULL,NULL,NULL,NULL
Virginia College-Greensboro,NULL,15220,NULL,NULL,NULL
The College of Health Care Professions-Dallas,NULL,23538,NULL,NULL,NULL
The College of Health Care Professions-Fort Worth,NULL,23139,NULL,NULL,NULL
Shear Finesse Hairstyling Academy,NULL,15558,NULL,NULL,NULL
Academy of Salon Professionals,NULL,6578,NULL,NULL,NULL
CyberTex Institute of Technology,NULL,14310,NULL,NULL,NULL
UEI College-Santa Cruz,NULL,NULL,NULL,NULL,NULL
New England Tractor Trailer Training School of CT-Bridgeport,NULL,8801,NULL,NULL,NULL
Gemini School of Visual Arts & Communication,NULL,25838,NULL,NULL,NULL
Designer Barber & Stylist School,NULL,11640,NULL,NULL,NULL
Paul Mitchell the School-Woodbridge,NULL,13444,NULL,NULL,NULL
College of the Muscogee Nation,NULL,NULL,NULL,NULL,NULL
The Salon Professional Academy-Huntsville,NULL,11918,NULL,NULL,NULL
Midwives College of Utah,NULL,16044,NULL,NULL,NULL
Aspen Beauty Academy of Laurel,NULL,11147,NULL,NULL,NULL
M T Training Center,NULL,9304,NULL,NULL,NULL
Berks Career & Technology Center,15580,NULL,NULL,NULL,NULL
Future Generations Graduate School,NULL,NULL,NULL,NULL,NULL
Carthage R9 School District-Carthage Technical Center,12876,NULL,NULL,NULL,NULL
Grace Mission University,NULL,14961,NULL,NULL,NULL
PCCTI IT and Healthcare,NULL,NULL,NULL,NULL,NULL
Sotheby's Institute of Art-NY,NULL,NULL,NULL,NULL,NULL
Top Nails & Hair Beauty School,NULL,10670,NULL,NULL,NULL
Radians College,NULL,29882,NULL,NULL,NULL
Santa Ana Beauty College,NULL,NULL,NULL,NULL,NULL
Shepherds College,NULL,21278,NULL,NULL,NULL
Woodruff Medical Training and Testing,NULL,16366,NULL,NULL,NULL
Helms College,NULL,13337,NULL,NULL,NULL
American Academy of Personal Training,NULL,11215,NULL,NULL,NULL
Ukiah Adult School,13055,NULL,NULL,NULL,NULL
Riverside County Office of Education,6293,NULL,NULL,NULL,NULL
Institute of Health Sciences,NULL,22998,NULL,NULL,NULL
Mid-South Christian College,NULL,11916,NULL,NULL,NULL
Advanced Computing Institute,NULL,17246,NULL,NULL,NULL
New York Institute of Beauty,NULL,15291,NULL,NULL,NULL
Ultrasound Medical Institute,NULL,20427,NULL,NULL,NULL
Beautiful You School of Nail Technology,NULL,4218,NULL,NULL,NULL
Harmon's Beauty School,NULL,10229,NULL,NULL,NULL
Xavier College School of Nursing,NULL,NULL,NULL,NULL,NULL
Lawrence & Company College of Cosmetology,NULL,9378,NULL,NULL,NULL
Cactus Academy,NULL,18340,NULL,NULL,NULL
Kaizen Beauty Academy,NULL,10997,NULL,NULL,NULL
Southern Texas Careers Academy,NULL,10641,NULL,NULL,NULL
Sharp Edgez Barber Institute,NULL,7613,NULL,NULL,NULL
The Salon Professional Academy-Nashville,NULL,10736,NULL,NULL,NULL
Cosmotech School of Cosmetology,NULL,11101,NULL,NULL,NULL
Prestige Health & Beauty Sciences Academy,NULL,21048,NULL,NULL,NULL
Grace College of Barbering,NULL,13909,NULL,NULL,NULL
California Career Institute,NULL,24343,NULL,NULL,NULL
Cosmo Factory Cosmetology Academy,NULL,14673,NULL,NULL,NULL
Grace School of Theology,NULL,NULL,NULL,NULL,NULL
Yeshiva Gedolah Kesser Torah,NULL,18667,NULL,NULL,NULL
Universal Training Institute,NULL,16019,NULL,NULL,NULL
Yeshiva Yesodei Hatorah,NULL,9156,NULL,NULL,NULL
Rizzieri Institute,NULL,9520,NULL,NULL,NULL
Bonnie Joseph Academy of Cosmetology and Barbering,NULL,12923,NULL,NULL,NULL
Healthcare Training Institute,NULL,15501,NULL,NULL,NULL
W Academy of Salon and Spa,NULL,23020,NULL,NULL,NULL
Boca Beauty Academy,NULL,17424,NULL,NULL,NULL
United Medical and Business Institute,NULL,15758,NULL,NULL,NULL
Paul Mitchell the School-Jersey Shore,NULL,16788,NULL,NULL,NULL
City Pointe Beauty Academy,NULL,10743,NULL,NULL,NULL
The Chrysm Insitute of Esthetics,NULL,21189,NULL,NULL,NULL
National Personal Training Institute of Columbus,NULL,NULL,NULL,NULL,NULL
Bly's School of Cosmetology,NULL,9528,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Manteca,NULL,14168,NULL,NULL,NULL
Belle Academy of Cosmetology,NULL,7159,NULL,NULL,NULL
Dorsey Business Schools-Lansing,NULL,26487,NULL,NULL,NULL
ITT Technical Institute-Pensacola,NULL,24515,NULL,NULL,NULL
ITT Technical Institute-San Antonio East,NULL,23434,NULL,NULL,NULL
MedTech Institute-Orlando Campus,NULL,15054,NULL,NULL,NULL
Tulsa Welding School-Tulsa,NULL,15212,NULL,NULL,NULL
Empire Beauty School-Augusta,NULL,13874,NULL,NULL,NULL
South University-High Point,NULL,25097,NULL,NULL,NULL
Empire Beauty School-Vernon Hills,NULL,13387,NULL,NULL,NULL
Empire Beauty School-Stone Park,NULL,13788,NULL,NULL,NULL
Court Reporting Institute of St Louis,NULL,20810,NULL,NULL,NULL
Ohio Business College-Dayton,NULL,2043,NULL,NULL,NULL
Empire Beauty School-Rochester,NULL,14118,NULL,NULL,NULL
American Career College-Long Beach,NULL,20933,NULL,NULL,NULL
Ross Medical Education Center-Kokomo,NULL,19085,NULL,NULL,NULL
Ross Medical Education Center-Erlanger,NULL,19623,NULL,NULL,NULL
Ross Medical Education Center-Charleston,NULL,20002,NULL,NULL,NULL
L'Ecole Culinaire-Kansas City,NULL,20545,NULL,NULL,NULL
Utah College of Massage Therapy-Houston,NULL,19196,NULL,NULL,NULL
InterCoast Colleges-Fairfield,NULL,23534,NULL,NULL,NULL
Vatterott College-ex'treme Institute by Nelly-St Louis,NULL,16644,NULL,NULL,NULL
Southern Careers Institute-San Antonio,NULL,26558,NULL,NULL,NULL
College of Business and Technology-Miami Gardens,NULL,25061,NULL,NULL,NULL
Milan Institute of Cosmetology-Nampa,NULL,11866,NULL,NULL,NULL
Milan Institute-Merced,NULL,15383,NULL,NULL,NULL
Midwest Technical Institute-Springfield,NULL,17958,NULL,NULL,NULL
Finger Lakes School of Massage,NULL,10771,NULL,NULL,NULL
Augusta University,8042,NULL,NULL,NULL,NULL
Middle Georgia State University,9603,NULL,NULL,NULL,NULL
Trenz Beauty Academy,NULL,8631,NULL,NULL,NULL
Paul Mitchell the School-Denver,NULL,11851,NULL,NULL,NULL
Academy of Interactive Entertainment,NULL,14871,NULL,NULL,NULL
Arrojo Cosmetology School,NULL,13288,NULL,NULL,NULL
Cosmetology Academy of Texarkana,NULL,7835,NULL,NULL,NULL
Virginia Baptist College,NULL,6676,NULL,NULL,NULL
Lynnes Welding Training,NULL,13827,NULL,NULL,NULL
Aviation Institute of Maintenance-Las Vegas,NULL,25342,NULL,NULL,NULL
Tulsa Technology Center-Owasso Campus,10807,NULL,NULL,NULL,NULL
Tulsa Technology Center-Sand Springs Campus,3443,NULL,NULL,NULL,NULL
National American University-Austin South,NULL,NULL,NULL,NULL,NULL
National American University-Lewisville,NULL,NULL,NULL,NULL,NULL
National American University-Georgetown,NULL,21247,NULL,NULL,NULL
National American University-Richardson,NULL,NULL,NULL,NULL,NULL
National American University-Rochester,NULL,NULL,NULL,NULL,NULL
National American University-Weldon Spring,NULL,NULL,NULL,NULL,NULL
National American University-Wichita West,NULL,NULL,NULL,NULL,NULL
National American University-Indianapolis,NULL,NULL,NULL,NULL,NULL
National American University-Tigard,NULL,NULL,NULL,NULL,NULL
The Art Institute of St Louis,NULL,19307,NULL,NULL,NULL
DeVry College of New York,NULL,25114,NULL,NULL,NULL
DeVry University-Arizona,NULL,25028,NULL,NULL,NULL
DeVry University-California,NULL,23106,NULL,NULL,NULL
DeVry University-Colorado,NULL,28232,NULL,NULL,NULL
DeVry University-Florida,NULL,24110,NULL,NULL,NULL
DeVry University-Georgia,NULL,25394,NULL,NULL,NULL
DeVry University-Illinois,NULL,24823,NULL,NULL,NULL
DeVry University-Indiana,NULL,23831,NULL,NULL,NULL
DeVry University-Maryland,NULL,28993,NULL,NULL,NULL
DeVry University-Michigan,NULL,24596,NULL,NULL,NULL
DeVry University-Minnesota,NULL,25797,NULL,NULL,NULL
DeVry University-Missouri,NULL,24550,NULL,NULL,NULL
DeVry University-Nevada,NULL,25565,NULL,NULL,NULL
DeVry University-New Jersey,NULL,20616,NULL,NULL,NULL
DeVry University-North Carolina,NULL,27939,NULL,NULL,NULL
DeVry University-Ohio,NULL,22814,NULL,NULL,NULL
DeVry University-Oklahoma,NULL,24413,NULL,NULL,NULL
DeVry University-Oregon,NULL,NULL,NULL,NULL,NULL
DeVry University-Pennsylvania,NULL,25583,NULL,NULL,NULL
DeVry University-Tennessee,NULL,27468,NULL,NULL,NULL
DeVry University-Texas,NULL,26208,NULL,NULL,NULL
DeVry University-Utah,NULL,NULL,NULL,NULL,NULL
DeVry University-Virginia,NULL,26034,NULL,NULL,NULL
DeVry University-Washington,NULL,26863,NULL,NULL,NULL
DeVry University-Wisconsin,NULL,30634,NULL,NULL,NULL
University of North Georgia,10182,NULL,NULL,NULL,NULL
South Georgia State College,7545,NULL,NULL,NULL,NULL
Northeastern University Global Network,NULL,NULL,NULL,NULL,NULL
Brown Mackie College-Dallas,NULL,19583,NULL,NULL,NULL
American Institute-Toms River,NULL,14163,NULL,NULL,NULL
Alamo City Barber College,NULL,12206,NULL,NULL,NULL
Arizona College-Mesa,NULL,20110,NULL,NULL,NULL
American College of Healthcare,NULL,13641,NULL,NULL,NULL
Central Georgia Technical College,3444,NULL,NULL,NULL,NULL
Barber School of Pittsburgh,NULL,11569,NULL,NULL,NULL
The Salon Professional Academy-South Plainfield,NULL,15629,NULL,NULL,NULL
Arizona State University-Skysong,13773,NULL,NULL,NULL,NULL
Louisiana Delta Community College,16519,NULL,NULL,NULL,NULL
Fab School,NULL,29911,NULL,NULL,NULL
Networks Barber College,NULL,14620,NULL,NULL,NULL
JB's Hair Design and Barber College,NULL,8373,NULL,NULL,NULL
Graduate School USA,NULL,NULL,NULL,NULL,NULL
Virginia College-Lubbock,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Lombard,NULL,13865,NULL,NULL,NULL
Paul Mitchell the School-Greenville,NULL,11812,NULL,NULL,NULL
Divine Crown Academy of Cosmetology,NULL,16892,NULL,NULL,NULL
Delta College of Arts & Technology-Lafayette Campus,NULL,17528,NULL,NULL,NULL
Delta College-Slidell Campus,NULL,17243,NULL,NULL,NULL
Integrity College of Health,NULL,19109,NULL,NULL,NULL
Electrical Training Center,NULL,NULL,NULL,NULL,NULL
Alexander Paul Institute of Hair Design,NULL,7085,NULL,NULL,NULL
Computer Training Academy,NULL,NULL,NULL,NULL,NULL
More Tech Institute,NULL,19951,NULL,NULL,NULL
Dorsey Business Schools-Dearborn,NULL,26888,NULL,NULL,NULL
NeeCee's College of Cosmetology,NULL,12961,NULL,NULL,NULL
Ridley-Lowell Business & Technical Institute,NULL,18563,NULL,NULL,NULL
Sutter Beauty College,NULL,8465,NULL,NULL,NULL
Midwest Technical Institute,NULL,26701,NULL,NULL,NULL
New Horizons Medical Institute,NULL,NULL,NULL,NULL,NULL
Ohio Institute of Allied Health,NULL,23939,NULL,NULL,NULL
Paul Mitchell the School-Ardmore,NULL,15084,NULL,NULL,NULL
Beauty and Health Institute,NULL,20351,NULL,NULL,NULL
School for Allied Health Professionals,NULL,13970,NULL,NULL,NULL
Cosmix School of Makeup Artistry,NULL,16811,NULL,NULL,NULL
Access Careers,NULL,NULL,NULL,NULL,NULL
River Valley Cosmetology Institute,NULL,5510,NULL,NULL,NULL
Luckes Beauty Academy,NULL,NULL,NULL,NULL,NULL
Total Transformation Institute of Cosmetology,NULL,14189,NULL,NULL,NULL
Vibe Barber College,NULL,13819,NULL,NULL,NULL
Champ's Barber School,NULL,15757,NULL,NULL,NULL
Azure College,NULL,NULL,NULL,NULL,NULL
Nunation School of Cosmetology,NULL,2598,NULL,NULL,NULL
IGlobal University,NULL,NULL,NULL,NULL,NULL
East-West Healing Arts Institute,NULL,NULL,NULL,NULL,NULL
National Personal Training Institute,NULL,NULL,NULL,NULL,NULL
Standard Healthcare Services-College of Nursing,NULL,20658,NULL,NULL,NULL
Philadelphia Technician Training,NULL,14771,NULL,NULL,NULL
Grace International Beauty School,NULL,10046,NULL,NULL,NULL
Alliance Computing Solutions,NULL,NULL,NULL,NULL,NULL
InterAmerican Technical Institute,NULL,NULL,NULL,NULL,NULL
Bay Area Medical Academy,NULL,9078,NULL,NULL,NULL
Mind Body Institute,NULL,12952,NULL,NULL,NULL
Parisian Spa Institute,NULL,12136,NULL,NULL,NULL
Yechanlaz Instituto Vocacional,NULL,4457,NULL,NULL,NULL
Creative Touch Cosmetology School,NULL,8309,NULL,NULL,NULL
LaBarberia Institute of Hair,NULL,11210,NULL,NULL,NULL
Setting the Standard Barbering and Natural Hair Academy,NULL,8944,NULL,NULL,NULL
Bos-Man's Barber College,NULL,15007,NULL,NULL,NULL
Lawrence & Company College of Cosmetology,NULL,8127,NULL,NULL,NULL
Healthcare Preparatory Institute,NULL,26194,NULL,NULL,NULL
Alabama College of Osteopathic Medicine,NULL,NULL,NULL,NULL,NULL
Morthland College,NULL,17645,NULL,NULL,NULL
High Desert Medical College,NULL,38338,NULL,NULL,NULL
Paul Mitchell the School-Schenectady,NULL,15305,NULL,NULL,NULL
Beyond Measure Barbering Institute,NULL,10947,NULL,NULL,NULL
Beauty Anatomy Institute of Cosmetology and Wellness,NULL,23048,NULL,NULL,NULL
Barber Institute of Texas,NULL,16271,NULL,NULL,NULL
Jupiter Beauty Academy,NULL,NULL,NULL,NULL,NULL
MedQuest College,NULL,20803,NULL,NULL,NULL
First Coast Barber Academy,NULL,47994,NULL,NULL,NULL
Debutantes School of Cosmetology and Nail Technology,NULL,8391,NULL,NULL,NULL
Excel Academies of Cosmetology-Troy,NULL,NULL,NULL,NULL,NULL
Excel Academies of Cosmetology-Merrillville,NULL,NULL,NULL,NULL,NULL
Excel Academies of Cosmetology,NULL,9537,NULL,NULL,NULL
Ricci's Academy of Cosmetology,NULL,14100,NULL,NULL,NULL
Yahweh Beauty Academy,NULL,14426,NULL,NULL,NULL
Excel Learning Center-San Antonio,NULL,6674,NULL,NULL,NULL
Preparing People Barber Styling College,NULL,9677,NULL,NULL,NULL
Arizona School of Integrative Studies,NULL,10400,NULL,NULL,NULL
Lee Professional Institute,NULL,11868,NULL,NULL,NULL
Burnett International College,NULL,28284,NULL,NULL,NULL
Park Place Premier Barber School,NULL,2704,NULL,NULL,NULL
The Salon Professional Academy-San Jose,NULL,23437,NULL,NULL,NULL
Sterling Health Center,NULL,NULL,NULL,NULL,NULL
Knox Theological Seminary,NULL,NULL,NULL,NULL,NULL
Montessori Education Institute of the Pacific Northwest,NULL,NULL,NULL,NULL,NULL
Jolie Health and Beauty Academy-Turnersville,NULL,13810,NULL,NULL,NULL
Ross Medical Education Center-Owensboro,NULL,22027,NULL,NULL,NULL
Ross Medical Education Center-Evansville,NULL,20029,NULL,NULL,NULL
Ross Medical Education Center-Johnson City,NULL,9209,NULL,NULL,NULL
North-West College-Santa Ana,NULL,18474,NULL,NULL,NULL
North-West College-Long Beach,NULL,22084,NULL,NULL,NULL
Branford Hall Career Institute-Amityville,NULL,NULL,NULL,NULL,NULL
Taylor Andrews Academy-Orem,NULL,10273,NULL,NULL,NULL
University of Florida-Online,NULL,NULL,NULL,NULL,NULL
Buchanan Beauty College-Pleasantview,NULL,6460,NULL,NULL,NULL
Ogle School Hair Skin Nails-Stafford,NULL,16788,NULL,NULL,NULL
University of Phoenix-Arizona,NULL,14583,NULL,NULL,NULL
University of Phoenix-Arkansas,NULL,17995,NULL,NULL,NULL
University of Phoenix-California,NULL,18356,NULL,NULL,NULL
University of Phoenix-Colorado,NULL,19005,NULL,NULL,NULL
University of Phoenix-Florida,NULL,18173,NULL,NULL,NULL
University of Phoenix-Georgia,NULL,17935,NULL,NULL,NULL
University of Phoenix-Louisiana,NULL,17103,NULL,NULL,NULL
