Supplier_Name,PWSID,Hydrologic_Region,County,Reporting_Month,Days-in-Month,Mandatory Restrictions,Days_Allowed/Week,Actions_Implemented,Current_Production,2013_Production,CII,Current_Ag,2013_Ag,Current_Recycled,Current_Non-revenue,Units,Population_Served,Percent_Residential_Use,R_GPCD_Reported ,R-GPCD_Calculated,Ag_Cert,Current_Production_Calculated,2013_Production_Calculated,Percent_Reduction,Complaints,Follow-ups,Warnings,Penalties_Rate,Penalties_Other,ID
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,12/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",54363000,56622000,10247563,,7399702,,2169654,G,18022,77.20%,75.08,75,,54363000,56622000,4.00%,139,139,139,,43,338-1512
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,11/15/2015 0:00,30,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",61619000,65648000,8963538,,9295590,,,G,18022,89.80%,102.34,102,,61619000,65648000,6.10%,159,159,128,,31,338-1511
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,10/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",72590000,80412000,9882576,,9455954,,,G,18022,72.20%,93.77,94,,72590000,80412000,9.70%,281,37,244,,37,338-1510
San Jose  City of,CA4310019,San Francisco Bay,SANTA CLARA,6/15/2014 0:00,30,Yes,,,699,737,,,,201,,MG,114974,46.00%,,93,,699000000,737000000,5.20%,,,,,,344-1406
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,9/15/2015 0:00,30,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget",76274000,82101000,10778448,9455954,,,3490593,G,18022,81.30%,114.68,115,,76274000,82101000,7.10%,220,23,197,,23,338-1509
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,8/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget",85224000,93355000,9150344,,,,15295245,G,18022,71.30%,108.79,109,,85224000,93355000,8.70%,220,7,220,,7,338-1508
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,7/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased leak detection and repair actions,Increased conservation program budget,Increased conservation program scope",78781000,100347000,9960308,,,,6316069,G,18022,79.30%,111.88,112,,78781000,100347000,21.50%,10,10,13,,0,338-1507
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,6/15/2015 0:00,30,Yes,2,"Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Increased conservation program budget,Increased conservation program scope",78353000,100831000,10528422,,10497267,,11491419,G,18022,71.90%,104.19,104,,78353000,100831000,22.30%,15,15,15,,0,338-1506
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,5/15/2015 0:00,31,Yes,3,,76.191,94.47,10.118944,0,0,,11.44795,MG,18022,71.70%,97.77,98,,76000000,94000000,19.10%,0,0,0,,0,338-1505
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,4/15/2015 0:00,30,Yes,3,,73089000,77807000,,,,,10270187,G,18022,73.00%,98.65,99,,73089000,77807000,6.10%,0,0,0,,0,338-1504
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,3/15/2015 0:00,31,Yes,3,,63866000,69124000,,,,,16871142,G,18022,63.20%,72.22,72,,63866000,69124000,7.60%,0,0,0,,0,338-1503
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,2/15/2015 0:00,28,Yes,3,,52756000,50722000,,,,,7872484,G,18022,72.50%,75.79,76,,52756000,50722000,-4.00%,0,0,0,,0,338-1502
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,1/15/2015 0:00,31,Yes,3,,51815000,52586000,,,,,1050304,G,18022,83.70%,77.63,78,,51815000,52586000,1.50%,0,0,0,,0,338-1501
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,12/15/2014 0:00,31,Yes,3,,50907000,56622000,,,,,1943361,G,17354,78.70%,74.48,74,,50907000,56622000,10.10%,0,0,0,,0,338-1412
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,11/15/2014 0:00,30,Yes,3,,65380000,65648000,,,,,9082468,G,17354,73.10%,91.78,92,,65380000,65648000,0.40%,0,0,0,,0,338-1411
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,10/15/2014 0:00,31,Yes,3,,75167000,80412000,,,,,3643479,G,17354,79.90%,111.67,112,,75167000,80412000,6.50%,0,0,0,,0,338-1410
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,9/15/2014 0:00,30,Yes,3,,81265000,82101000,,,,,16511433,G,17354,68.50%,106.96,107,,81265000,82101000,1.00%,0,0,0,,0,338-1409
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,8/15/2014 0:00,31,Yes,3,,88136000,93355000,,,,,7019589,G,17354,79.80%,130.78,131,,88136000,93355000,5.60%,0,0,0,,0,338-1408
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,7/15/2014 0:00,31,Yes,3,,105111000,100347000,,,,,9018327,G,17354,74.00%,144.5,145,,105111000,100347000,-4.70%,0,0,0,,0,338-1407
"Imperial, City of",CA1310006,Colorado River,IMPERIAL,6/15/2014 0:00,30,Yes,3,,97216000,100831000,,,,,11593704,G,17354,76.10%,142.02,142,,97216000,100831000,3.60%,,,,,,338-1406
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,4/15/2016 0:00,30,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",24.8,69.6,2.3,,,,,AF,3379,92.20%,73.5,74,,8146286,22809600,64.30%,0,0,0,126,0,339-1604
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,3/15/2016 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",20.1,48.8,2.5,,,,,AF,3383,90.40%,56.6,56,,6517029,15966720,59.20%,0,0,0,159,0,339-1603
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,2/15/2015 0:00,28,Yes,,,31.5,34.2,,,,,,AF,3389,92.10%,99.7,101,,10427246,11078949,5.90%,,,,,,339-1502
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,1/15/2015 0:00,31,Yes,,,30.8,38.5,,,,,,AF,3393,90.60%,86.4,87,,10101394,12708206,20.50%,,,,,,339-1501
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,2/15/2016 0:00,29,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",18.2,34.2,2.5,,,,,AF,3375,90.00%,54.6,54,,5865326,11078949,47.10%,0,0,0,137,0,339-1602
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,1/15/2016 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",19.4,38.5,2.4,,,,,AF,3377,90.80%,54.8,54,,6191177,12708206,51.30%,0,0,0,149,0,339-1601
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,12/15/2015 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",27,44,2.4,,,,,AF,3387,91.60%,76.8,77,,8797989,14337463,38.60%,0,0,0,174,0,339-1512
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,11/15/2015 0:00,30,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",20.9,55.6,2.9,,,,,AF,3422,93.00%,61.7,62,,6842880,18247680,62.50%,0,0,0,,0,339-1511
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,10/15/2015 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",37.3,84.7,5,,,,,AF,3387,90.20%,104.5,104,,12056503,27697371,56.50%,0,0,0,,0,339-1510
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,9/15/2015 0:00,30,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",47.4,103.4,6.6,,,,,AF,3391,89.10%,135.3,134,,15315017,33562697,54.40%,0,0,0,,0,339-1509
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,8/15/2015 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",68.6,110.7,5.4,,,,,AF,3391,90.10%,191.6,193,,22483749,36169509,37.80%,0,0,0,,0,339-1508
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,7/15/2015 0:00,31,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",62.3,115.2,5.7,,,,,AF,3385,91.40%,176.8,176,,20202789,37472914,46.10%,9,9,9,,0,339-1507
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,6/15/2015 0:00,30,Yes,3,"Instituted surcharges,Reduced allocations (for allocation-based rates),Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",55.6,96.3,4.9,,,,,AF,3393,90.20%,160.5,162,,18247680,31281737,41.70%,10,10,10,,0,339-1506
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,5/15/2015 0:00,31,Yes,7,,54.3,89.6,6.2,,,,,AF,3395,89.00%,149.7,149,,17595977,29326629,40.00%,6,6,6,,0,339-1505
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,4/15/2015 0:00,30,Yes,7,,58.1,69.6,,,,,,AF,3391,91.50%,170.3,170,,18899383,22809600,17.10%,1,1,1,,0,339-1504
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,3/15/2015 0:00,31,Yes,7,,46.8,48.8,,,,,,AF,3387,91.40%,132.7,133,,15315017,15966720,4.10%,0,0,0,,0,339-1503
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,12/15/2014 0:00,31,Yes,,,36.8,44,,,,,,AF,3387,93.40%,106.8,107,,12056503,14337463,15.90%,,,,,,339-1412
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,11/15/2014 0:00,30,Yes,,,45.4,55.6,,,,,,AF,3385,90.30%,132,130,,14663314,18247680,19.60%,,,,,,339-1411
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,10/15/2014 0:00,31,Yes,,,75,84.7,,,,,,AF,3385,90.60%,211.1,211,,24438857,27697371,11.80%,,,,,,339-1410
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,9/15/2014 0:00,30,Yes,,,99,103.4,,,,,,AF,3395,91.70%,290.3,290,,32259291,33562697,3.90%,,,,,,339-1409
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,8/15/2014 0:00,31,Yes,,,101.3,110.7,,,,,,AF,3424,92.20%,,286,,32910994,36169509,9.00%,,,,,,339-1408
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,7/15/2014 0:00,31,Yes,,,112,115,,,,,,AF,3424,91.20%,,314,,36495360,37472914,2.60%,,,,,,339-1407
California Water Service Company Antelope Valley,CA1500333,South Lahontan,KERN,6/15/2014 0:00,30,Yes,,,109.2,96.3,,,,,,AF,3424,93.00%,,322,,35517806,31281737,-13.50%,,,,,,339-1406
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,4/15/2016 0:00,30,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4237.9,5546.4,1245.57,,,2229.6,,AF,390098,56.00%,66,66,,1380958356,1807172025,23.60%,13,4,4,,,340-1604
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,3/15/2016 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3957.6,4369.1,1088,,,2136.7,,AF,389953,51.00%,55,54,,1289719956,1423644893,9.40%,17,8,4,,,340-1603
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,2/15/2016 0:00,29,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted use of SmartMeters for data tracking and enforcement,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3831.6,3698,1066,,,1896,,AF,388451,53.00%,53,59,,1248662676,1204998584,-3.60%,5,3,2,,,340-1602
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,1/15/2016 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4101.6,4327.2,1112,,,2041.3,,AF,388319,54.00%,59.44,60,,1336642562,1409959133,5.20%,5,5,5,,,340-1601
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,12/15/2015 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3912.3,4501.2,1181,,,2160,,AF,391279,63.00%,60,66,,1274730790,1466657282,13.10%,7,11,11,0,0,340-1512
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,11/15/2015 0:00,30,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",3749.53,4586.6,1210.54,,,2147.4,,AF,390318,58.00%,60.97,61,,1221942859,1494680505,18.20%,13,7,2,,0,340-1511
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,10/15/2015 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4596.7,6022.1,1478,,,2262.9,,AF,389177,55.00%,68.37,68,,1497939019,1962277305,23.70%,24,11,5,,,340-1510
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,9/15/2015 0:00,30,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",5148.7,5902.7,1419,,,2439,,AF,387773,48.00%,67.6,69,,1677809008,1923500985,12.80%,27,12,5,,,340-1509
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,8/15/2015 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4917.9,6084.4,1460,,,2519.3,,AF,386026,52.00%,69.79,70,,1602537328,1982480094,19.20%,63,27,8,,,340-1508
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,7/15/2015 0:00,31,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4730.6,6074.3,1562,,,2465.6,,AF,387501,57.00%,72.86,73,,1541603111,1979221580,22.10%,50,4,0,,,340-1507
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,6/15/2015 0:00,30,Yes,,"Raised rates,Reduced allocations (for allocation-based rates),Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",5339.39,6085.2,1440,,,2386.9,,AF,387138,47.00%,70.89,70,,1739720779,1982805945,12.30%,8,180,,,,340-1506
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,5/15/2015 0:00,31,No,,,4341.2,5501.3,1397,,,2181.9,,AF,386669,57.00%,67.11,67,,1414521053,1792508711,21.10%,14,54,0,,0,340-1505
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,4/15/2015 0:00,30,No,,,4784,5546.4,,,,1903.5,,AF,385742,57.00%,77.25,77,,1558873236,1807172025,13.70%,6,25,0,,0,340-1504
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,3/15/2015 0:00,31,No,,,4841.7,4369.1,,,,1841.9,,AF,385056,48.00%,62.92,63,,1577772619,1423644893,-10.80%,2,56,,,,340-1503
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,2/15/2015 0:00,28,No,,,4089.7,3697.8,,,,1596,,AF,384154,53.00%,66,66,,1332732345,1204998584,-10.60%,,,,,,340-1502
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,1/15/2015 0:00,31,No,,,3925,4327.2,,,,2298.6,,AF,383305,63.00%,69,68,,1278966859,1409959133,9.30%,,,,,,340-1501
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,12/15/2014 0:00,31,No,,,4214.1,4501.2,,,,2203.1,,AF,382411,58.00%,68,67,,1373137922,1466657282,6.40%,,,,,,340-1412
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,11/15/2014 0:00,30,No,,,4481.7,4586.6,,,,2391.2,,AF,381880,58.00%,73,74,,1460466105,1494680505,2.30%,,,,,,340-1411
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,10/15/2014 0:00,31,No,,,5560.3,6022.1,,,,2290.7,,AF,381003,55.00%,85,84,,1811733945,1962277305,7.70%,,,,,,340-1410
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,9/15/2014 0:00,30,No,,,6093.1,5902.7,,,,2251,,AF,380104,53.00%,91,92,,1985412757,1923500985,-3.20%,,,,,,340-1409
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,8/15/2014 0:00,31,No,,,5773.2,6084.4,,,,2277.5,,AF,378750,54.00%,,87,,1881140300,1982480094,5.10%,,,,,,340-1408
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,7/15/2014 0:00,31,No,,,6152.9,6074.3,,,,2242.9,,AF,368975,55.00%,,96,,2004963843,1979221580,-1.30%,,,,,,340-1407
Irvine Ranch Water District,CA3010092,South Coast,ORANGE,6/15/2014 0:00,30,No,,,5790.1,6085.2,,,,3680.5,,AF,365858,54.00%,,93,,1886679774,1982805945,4.80%,,,,,,340-1406
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,4/15/2016 0:00,30,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",163155960,225293296,47485255,12409120,20688940,,,G,65739,68.50%,52,57,Yes,150746840,204604356,26.30%,1,1,0,0,0,341-1604
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,3/15/2016 0:00,31,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",148206280,180828800,45496823,3771920,4829980,,,G,65739,68.50%,49,50,Yes,144434360,175998820,17.90%,1,1,0,0,0,341-1603
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,2/15/2016 0:00,29,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",138750500,151214356,41387689,7361010,6568810,,,G,65739,68.50%,47,50,Yes,131389490,144645546,9.20%,0,0,0,0,0,341-1602
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,1/15/2016 0:00,31,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",133091520,158041356,40871675,4158790,12035570,,,G,65739,68.30%,43,45,Yes,128932730,146005786,11.70%,0,0,0,0,0,341-1601
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,12/15/2015 0:00,31,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",133275580,186878652,40754931,4711130,21580080,,,G,65739,68.30%,43,45,Yes,128564450,165298572,22.20%,1,13,13,0,10,341-1512
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,11/15/2015 0:00,30,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",150198420,205814012,44933634,8451940,22890570,,,G,65739,68.30%,49,52,Yes,141746480,182923442,22.50%,0,0,0,,0,341-1511
Dinuba  City of,CA5410002,Tulare Lake,TULARE,8/15/2014 0:00,31,Yes,,,183.24,207.32,,,,,,MG,21453,70.00%,,193,,183000000,207000000,11.60%,,,,,,345-1408
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,10/15/2015 0:00,31,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",183784460,238111800,55745664,7930630,18448300,,,G,65739,68.30%,59,62,Yes,175853830,219663500,19.90%,2,5,7,,7,341-1510
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,9/15/2015 0:00,30,Yes,2,"Instituted stricter prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",213909380,258106052,58739276,28611980,26225380,,,G,65739,68.30%,64,74,Yes,185297400,231880672,20.10%,4,12,12,,7,341-1509
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,8/15/2015 0:00,31,Yes,2,"Instituted new prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",226867640,274378724,57651810,45000730,40216860,,,G,65739,68.30%,61,76,Yes,181866910,234161864,22.30%,12,12,10,,6,341-1508
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,7/15/2015 0:00,31,Yes,2,"Instituted new prohibitions on specific water uses,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",234653580,282616728,58367723,50528270,37780740,,,G,65739,68.30%,62,79,Yes,184125310,244835988,24.80%,16,16,16,,0,341-1507
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,6/15/2015 0:00,30,Yes,2,,222697060,271563712,55475799,47694540,32888800,,,G,65739,68.30%,61,77,Yes,175002520,238674912,26.70%,13,13,19,,14,341-1506
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,5/15/2015 0:00,31,Yes,2,,209757572,271006220,,34114110,31844520,,,G,65739,68.30%,59,70,,209757572,271006220,22.60%,6,6,6,,0,341-1505
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,4/15/2015 0:00,30,Yes,2,,182086192,225293296,,,,,,G,65739,68.30%,57,63,,182086192,225293296,19.20%,8,20,12,,10,341-1504
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,3/15/2015 0:00,31,Yes,2,,172301792,180828800,,,,,,G,65739,68.30%,54,58,,172301792,180828800,4.70%,4,4,0,,0,341-1503
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,2/15/2015 0:00,28,Yes,,,154061808,151214356,,,,,,G,65739,68.30%,57,57,,154061808,151214356,-1.90%,,,,,,341-1502
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,1/15/2015 0:00,31,Yes,,,152199060,158041356,,,,,,G,65739,68.30%,51,51,,152199060,158041356,3.70%,,,,,,341-1501
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,12/15/2014 0:00,31,Yes,,,140231648,205814012,,,,,,G,65739,99.80%,47,69,,140231648,205814012,31.90%,,,,,,341-1412
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,11/15/2014 0:00,30,Yes,,,158331748,205814012,,,,,,G,65739,92.90%,55,75,,158331748,205814012,23.10%,,,,,,341-1411
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,10/15/2014 0:00,31,Yes,,,208874264,238111800,,,,,,G,65739,91.10%,70,93,,208874264,238111800,12.30%,,,,,,341-1410
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,9/15/2014 0:00,30,Yes,,,221262920,258106052,,,,,,G,65739,86.40%,97,97,,221262920,258106052,14.30%,,,,,,341-1409
Watsonville  City of,CA4410011,Central Coast,SANTA CRUZ,8/15/2014 0:00,31,Yes,,,243743196,274378724,,,,,,G,65739,82.00%,,98,,243743196,274378724,11.20%,,,,,,341-1408
