INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
PULASKI AND BELMONT,1382,3200 N PULASKI RD,11/27/2014,5,1149125.621478734,1920994.556178086,41.939138154,-87.72733371,"(41.939138153500274, -87.7273337101426)"
AUSTIN AND IRVING PARK,1161,4000 N AUSTIN AVENUE,11/27/2014,1,1135599.956110927,1926006.862619986,41.953144059,-87.776925284,"(41.95314405904539, -87.77692528423394)"
CICERO AND CHICAGO,1781,800 N CICERO AVENUE,11/27/2014,2,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)"
WESTERN AND NORTH,1851,1600 N WESTERN AVE,11/27/2014,2,1160077.474351131,1910605.013316134,41.910409024,-87.687370268,"(41.91040902362901, -87.687370268401)"
DIVISION AND DAMEN,1734,2000 W DIVISION,11/27/2014,6,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)"
ASHLAND AND MADISON,1914,1600 W MADISON,11/27/2014,1,1165723.014733182,1900136.515489506,41.881564167,-87.666929463,"(41.8815641670199, -87.66692946294842)"
PULASKI AND ARCHER,2153,5000 S ARCHER AVE,11/27/2014,1,1150501.818909837,1871162.311703322,41.802365973,-87.723576766,"(41.80236597333895, -87.72357676611004)"
HARLEM AND BELMONT,1394,7200 W BELMONT AVE,11/27/2014,2,1127504.698153561,1920475.415440844,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)"
LARAMIE AND MADISON,2043,5200 W MADISON STREET,11/27/2014,2,1141706.965522802,1899567.55684314,41.880480752,-87.755130433,"(41.88048075170171, -87.75513043296509)"
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,11/27/2014,8,,,,,
87TH AND VINCENNES,2412,8700 S VINCENNES,11/27/2014,10,1172026.328989535,1847142.496643776,41.736006565,-87.645341819,"(41.73600656458518, -87.64534181897955)"
CENTRAL AND IRVING PARK,1183,5600 W IRVING PARK ROAD,11/27/2014,6,1138281.535484986,1926078.647777633,41.953292847,-87.767065708,"(41.953292847298, -87.76706570775266)"
ASHLAND AND 87TH,2452,8700 S ASHLAND AVE,11/27/2014,12,1167150.470087748,1846991.212339794,41.735696989,-87.663209544,"(41.73569698863625, -87.66320954445679)"
HALSTED AND 83RD,2642,8300 S HALSTED STREET,11/27/2014,5,1172378.202798089,1849790.199606783,41.743264491,-87.64397498,"(41.743264490643654, -87.64397498015705)"
CENTRAL AND FULLERTON,1444,5600 W FULLERTON AVENU,11/27/2014,1,1138627.279189421,1915438.969256439,41.924090199,-87.76605353,"(41.92409019883488, -87.76605353016079)"
JEFFERY AND 95TH,2522,9500 S JEFFERY AVE,11/27/2014,2,1191132.420601301,1842335.735988875,41.722375907,-87.575499903,"(41.72237590704101, -87.57549990332795)"
WESTERN AND 79TH,2481,7900 S WESTERN AVE,11/27/2014,2,1161711.516404028,1852181.685686118,41.750054934,-87.682992203,"(41.750054933649984, -87.68299220290213)"
63RD AND STATE,2712,6300 S STATE ST,11/27/2014,1,1177303.801895084,1863220.216755923,41.780008277,-87.625522512,"(41.78000827740796, -87.6255225119157)"
WESTERN AND ADDISON,1562,3600 N WESTERN AVENUE,11/27/2014,9,1159695.573342728,1923871.086283556,41.94681992,-87.688406662,"(41.94681991986288, -87.68840666206194)"
HALSTED AND 95TH,2582,9500 S HALSTED STREET,11/27/2014,1,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)"
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,11/27/2014,3,,,,,
LARAMIE AND MADISON,2044,5200 W MADISON STREET,11/27/2014,12,1141706.965522802,1899567.55684314,41.880480752,-87.755130433,"(41.88048075170171, -87.75513043296509)"
HALSTED AND 83RD,2641,8300 S HALSTED STREET,11/27/2014,2,1172378.202798089,1849790.199606783,41.743264491,-87.64397498,"(41.743264490643654, -87.64397498015705)"
4700 WESTERN,2141,4700 S WESTERN AVENUE,11/27/2014,8,1161120.438879703,1873431.066474726,41.808378408,-87.684570717,"(41.808378407946726, -87.68457071689552)"
WESTERN AND 51ST,2174,2400 W 51ST ST,11/27/2014,1,1161218.987472846,1870836.843263966,41.801257492,-87.684281116,"(41.801257491998776, -87.68428111564593)"
KEDZIE AND 26TH,2381,2600 S KEDZIE AVENUE,11/27/2014,1,1155404.235510285,1886524.460033054,41.844424831,-87.705185452,"(41.84442483084393, -87.70518545233183)"
HAMLIN AND LAKE,1881,300 N HAMLIN AVENUE,11/27/2014,9,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
LAWRENCE AND WESTERN,1193,2400 W LAWRENCE AVENUE,11/27/2014,1,1159482.648570304,1931851.989492596,41.968724349,-87.688968727,"(41.96872434882172, -87.68896872699601)"
CICERO AND NORTH,2033,4800 W NORTH AVENUE,11/27/2014,5,1144053.733747163,1910243.80567041,41.90973389,-87.746244973,"(41.909733890131285, -87.74624497295898)"
55TH and PULASKI,2242,5500 S PULASKI,11/27/2014,2,1150600.072649439,1867806.44512718,41.793155061,-87.723303765,"(41.793155060731024, -87.72330376464247)"
STATE AND 79TH,2654,1 E 79TH STREET,11/27/2014,18,1177680.113652821,1852598.313477786,41.750852096,-87.624463832,"(41.75085209551078, -87.62446383210285)"
HAMLIN AND LAKE,1882,300 N HAMLIN AVENUE,11/27/2014,5,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
PULASKI AND 63RD,2342,6300 S PULASKI RD,11/27/2014,5,1150746.00309079,1862516.747695325,41.778636469,-87.722906356,"(41.77863646878099, -87.72290635568541)"
83RD AND STONY ISLAND,2562,8300 S STONY ISLAND A,11/27/2014,18,1188212.052384068,1850245.675393851,41.744151639,-87.585945067,"(41.744151639041974, -87.58594506695293)"
HALSTED AND DIVISION,1714,800 W DIVISION,11/27/2014,8,1170767.827960358,1908259.644151662,41.903745557,-87.648167011,"(41.90374555734733, -87.64816701062779)"
PULASKI AND DIVERSEY,1542,2800 N PULASKI ROAD,11/27/2014,2,1149200.724531183,1918332.222549679,41.931831026,-87.727126873,"(41.93183102561505, -87.72712687300454)"
ASHLAND AND 47TH,2192,4700 S ASHLAND AVENUE,11/27/2014,1,1166423.624284841,1873520.235394001,41.808511597,-87.665117292,"(41.8085115972472, -87.66511729173287)"
ELSTON AND LAWRENCE,1282,4800 N ELSTON AVENUE,11/27/2014,2,1145529.344259918,1931501.601268983,41.968039361,-87.740283894,"(41.96803936143674, -87.74028389448999)"
AUSTIN AND ADDISON,1491,3600 N AUSTIN AVENUE,11/27/2014,3,1135691.599896458,1923335.967306169,41.945813215,-87.776652162,"(41.9458132146695, -87.77665216156436)"
FULLERTON AND NARRAGANSETT,1553,6400 W FULLERTON AVENU,11/27/2014,6,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)"
WESTERN AND CERMAK,1002,2200 S WESTERN AVENUE,11/27/2014,7,1160669.42562757,1889318.196820393,41.85198384,-87.685785704,"(41.85198383957328, -87.68578570420526)"
MILWAUKEE AND MONTROSE,1362,4400 N MILWAUKEE AVEN,11/27/2014,6,1141643.943268783,1928770.256316239,41.96061723,-87.75463824,"(41.9606172296957, -87.75463824007085)"
LINCOLN AND MCCORMICK,2751,6200 N LINCOLN AVENUE,11/27/2014,17,1152551.008921873,1941175.933038791,41.994450004,-87.714208439,"(41.9944500041165, -87.71420843920934)"
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,11/27/2014,1,1153386.578905125,1910465.87061722,41.910162847,-87.711953868,"(41.91016284680269, -87.71195386769125)"
DIVERSEY AND WESTERN,1431,2800 N WESTERN AVENUE,11/27/2014,1,1159837.205417355,1918550.506189309,41.932216988,-87.688033281,"(41.93221698794738, -87.68803328089533)"
KEDZIE AND 63RD,2364,3200 W 63RD ST,11/27/2014,4,1156103.348831225,1862717.565210739,41.779081505,-87.703260365,"(41.77908150488341, -87.70326036544745)"
CORTLAND AND ASHLAND,1721,1900 N ASHLAND AVE,11/27/2014,16,1165348.084854857,1912736.454335569,41.916147281,-87.667947354,"(41.91614728095272, -87.66794735350443)"
PULASKI AND ARCHER,2154,5000 S ARCHER AVE,11/27/2014,6,1150501.818909837,1871162.311703322,41.802365973,-87.723576766,"(41.80236597333895, -87.72357676611004)"
CALIFORNIA AND DIVERSEY,1513,2800 W DIVERSEY,11/27/2014,1,1157212.54253358,1918526.674434943,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)"
KEDZIE AND ARMITAGE,1832,2000 N KEDZIE AVENUE,11/27/2014,4,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,11/27/2014,4,1164069.407943298,1862830.277442834,41.779226921,-87.674052731,"(41.77922692069256, -87.67405273137854)"
VINCENNES AND 111TH,2532,11100 S VINCENNES AVE,11/27/2014,7,1167202.128381332,1831126.639262444,41.692160999,-87.663472469,"(41.69216099874656, -87.66347246868617)"
FOSTER AND NAGLE,1031,5200 N NAGLE,11/27/2014,3,1132529.656558223,1934201.702060651,41.97568567,-87.788020406,"(41.97568566971868, -87.78802040620296)"
ASHLAND AND ARCHER,2302,3100 S ARCHER AVENUE,11/27/2014,1,1166129.031970482,1884166.613649776,41.837732675,-87.66589445,"(41.83773267497158, -87.66589444999927)"
JEFFERY AND 79TH,2663,2000 E 79TH STREET,11/27/2014,1,1190922.804327671,1853026.181924232,41.751716559,-87.575923074,"(41.751716559267784, -87.57592307446549)"
CENTRAL AND ADDISON,1683,5600 W ADDISON STREET,11/27/2014,2,1138349.663302502,1923416.02157061,41.945985104,-87.766879952,"(41.94598510430888, -87.76687995165918)"
JEFFERY AND 95TH,2523,2000 E 95TH ST,11/27/2014,2,1191188.381103057,1842410.411853539,41.722579473,-87.575292523,"(41.722579473126416, -87.57529252250366)"
115TH AND HALSTED,2552,11500 S HALSTED STREE,11/27/2014,15,,,,,
CICERO AND PETERSON,1202,6000 N CICERO AVENUE,11/27/2014,2,1143247.733553094,1939479.342905704,41.989973915,-87.748473024,"(41.98997391514614, -87.74847302426933)"
COLUMBUS AND ILLINOIS,1951,500 N COLUMBUS DRIVE,11/27/2014,2,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
PULASKI AND CHICAGO,1983,4000 W CHICAGO AVENUE,11/27/2014,1,1149561.855939692,1905086.596446259,41.895476752,-87.72614436,"(41.89547675163723, -87.72614435991626)"
ROOSEVELT AND HALSTED,2234,800 W ROOSEVELT ROAD,11/27/2014,7,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
PULASKI AND ARMITAGE,1844,4000 W ARMITAGE AVENUE,11/27/2014,1,1149375.428872108,1913028.984273181,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,11/27/2014,1,,,,,
KOSTNER AND NORTH,2013,4400 W NORTH,11/27/2014,2,1146738.551618032,1910309.595368032,41.909863573,-87.736380296,"(41.90986357340246, -87.73638029605371)"
ELSTON AND FOSTER,1063,4932 W FOSTER AVENUE,11/27/2014,2,1142393.863544234,1934160.513830056,41.975394608,-87.751746599,"(41.975394608045924, -87.75174659886025)"
STATE AND 79TH,2651,7900 S STATE STREET,11/27/2014,5,1177618.166929966,1852621.870232838,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)"
WESTERN AND TOUHY,1251,7200 N WESTERN AVENUE,11/27/2014,5,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)"
HALSTED AND 95TH,2581,9500 S HALSTED STREET,11/27/2014,5,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)"
PULASKI AND PETERSON,1263,4000 W PETERSON AVENUE,11/27/2014,2,1148618.560490339,1939615.133928395,41.990244186,-87.728714391,"(41.99024418564742, -87.7287143910091)"
ROOSEVELT AND KOSTNER,2323,4400 W ROOSEVELT,11/27/2014,6,1147200.963258796,1894379.538078088,41.866140868,-87.73508956,"(41.866140867641654, -87.73508956008207)"
LAKE SHORE DR AND BELMONT,1413,400 W BELMONT AVE,11/27/2014,16,1172981.744869382,1921577.376128802,41.940241193,-87.639639114,"(41.94024119325571, -87.63963911427594)"
CICERO AND FULLERTON,1472,2400 N CICERO AVE,11/27/2014,3,1143961.592189569,1915545.343094087,41.92428359,-87.74645019,"(41.92428358982701, -87.74645019028947)"
KEDZIE AND 47TH,2104,3200 W 47TH ST,11/27/2014,1,1155815.231505056,1873336.169728074,41.808226246,-87.704031672,"(41.808226246244026, -87.70403167215984)"
ASHLAND AND DIVISION,1791,1200 N ASHLAND AVENUE,11/27/2014,4,1165466.997046718,1908083.767015974,41.903377468,-87.667643142,"(41.903377467566784, -87.66764314227497)"
WESTERN AND 71ST,2612,7100 S WESTERN AVENUE,11/27/2014,7,1161563.704681724,1857484.211306323,41.764608912,-87.683387053,"(41.76460891223613, -87.68338705328121)"
CICERO AND ADDISON,1611,3600 N CICERO AVENUE,11/27/2014,3,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
TOUHY AND OSCEOLA,1244,7432 W TOUHY AVENUE,11/27/2014,1,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)"
35TH AND WESTERN,2091,3500 S WESTERN,11/27/2014,1,1160894.949857101,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)"
FULLERTON AND NARRAGANSETT,1554,6400 W FULLERTON AVENU,11/27/2014,3,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,11/27/2014,5,1175374.528739575,1905745.47783364,41.896744347,-87.631321248,"(41.896744346875806, -87.63132124815151)"
CLARK AND IRVING PARK,1093,1300 W IRVING PARK ROAD,11/27/2014,1,1166777.545456989,1926719.73687357,41.954487567,-87.662293496,"(41.95448756687966, -87.66229349585691)"
31ST ST AND MARTIN LUTHER KING DRIVE,2123,400 E 31ST STREET,11/27/2014,8,1179437.985396417,1884565.84226022,41.838534018,-87.617046113,"(41.838534018118914, -87.61704611345726)"
HALSTED AND NORTH,1764,800 W NORTH AVENUE,11/27/2014,1,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)"
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,11/27/2014,2,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,11/27/2014,3,,,,,
DIVISION AND DAMEN,1733,2000 W DIVISION,11/27/2014,4,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)"
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,11/27/2014,4,,,,,
WESTERN AND DEVON,1211,6400 N WESTERN AVENUE,11/27/2014,1,1159113.585759434,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)"
VAN BUREN AND WESTERN,2052,400 S WESTERN AVENUE,11/27/2014,15,1160431.682297829,1898091.942371589,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)"
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,11/27/2014,9,,,,,
COTTAGE GROVE AND 71ST,2571,7100 S COTTAGE GROVE,11/27/2014,1,1182746.23698699,1858088.011064538,41.765800351,-87.605729127,"(41.76580035131893, -87.6057291269901)"
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,11/27/2014,5,,,,,
ROOSEVELT AND KOSTNER,2321,1200 S KOSTNER,11/27/2014,2,1147196.304001978,1894305.883269746,41.865938839,-87.735108549,"(41.8659388389088, -87.73510854901264)"
MONTROSE AND WESTERN,1221,4400 N WESTERN AVENUE,11/27/2014,8,1159539.733234718,1929183.918095502,41.961401846,-87.688832623,"(41.961401846278505, -87.6888326227788)"
WESTERN AND CHICAGO,1941,800 N WESTERN AVE,11/27/2014,1,1160220.967978608,1905277.507115921,41.895786955,-87.686990586,"(41.89578695485361, -87.68699058611217)"
WESTERN AND TOUHY,1252,7200 N WESTERN AVENUE,11/27/2014,1,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)"
75TH AND STATE,2624,1 E 75TH STREET,11/27/2014,10,1177601.72646404,1855229.486604181,41.758074111,-87.624671658,"(41.75807411097799, -87.62467165835182)"
BELMONT AND KEDZIE,1373,3200 W BELMONT,11/27/2014,1,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)"
KEDZIE AND 71ST,2352,7100 S KEDZIE AVENUE,11/27/2014,2,1156225.540366296,1857330.103443232,41.764295037,-87.702957162,"(41.764295036756856, -87.70295716211793)"
VINCENNES AND 111TH,2531,11100 S VINCENNES AVE,11/27/2014,4,1167202.128381332,1831126.639262444,41.692160999,-87.663472469,"(41.69216099874656, -87.66347246868617)"
DIVERSEY AND AUSTIN,1454,6000 W DIVERSEY AVENUE,11/27/2014,2,1135895.736169343,1918029.70673837,41.931248624,-87.776028612,"(41.931248623643455, -87.77602861172493)"
CICERO AND NORTH,2034,4800 W NORTH AVENUE,11/27/2014,2,1144053.733747163,1910243.80567041,41.90973389,-87.746244973,"(41.909733890131285, -87.74624497295898)"
STONY ISLAND/CORNELL AND 67TH,2721,6700 S STONY ISLAND A,11/27/2014,10,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)"
WESTERN AND 79TH,2484,2400 W 79TH ST,11/27/2014,2,1161758.68085177,1852242.255513454,41.750220168,-87.682817693,"(41.75022016799851, -87.68281769253687)"
PULASKI AND IRVING PARK,1574,4000 W IRVING PARK RD,11/27/2014,3,1148988.727877253,1926320.954938409,41.953756874,-87.727698513,"(41.95375687447515, -87.72769851312907)"
LASALLE AND KINZIE,1921,400 N LASALLE,11/27/2014,3,1175028.579766798,1903002.552291359,41.889225372,-87.632674115,"(41.88922537162015, -87.63267411498495)"
CICERO AND FULLERTON,1474,4800 W FULLERTON AVE,11/27/2014,3,1143967.570794243,1915568.504954477,41.924347036,-87.74642764,"(41.924347036010694, -87.74642763965628)"
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,11/27/2014,3,,,,,
CLARK AND FULLERTON,1631,2400 N CLARK ST,11/27/2014,1,1172749.562209477,1916238.997132859,41.925597623,-87.640650973,"(41.925597623023144, -87.64065097309872)"
HOLLYWOOD AND SHERIDAN,1343,1000 W HOLLYWOOD AVE,11/27/2014,3,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)"
ADDISON AND HARLEM,1591,3600 N HARLEM AVENUE,11/27/2014,1,1127394.594070737,1923110.532422811,41.945338412,-87.807154769,"(41.94533841246591, -87.80715476912044)"
ASHLAND AND IRVING PARK,1151,4000 N ASHLAND AVENUE,11/27/2014,1,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,11/27/2014,3,1188316.454860734,1860851.137456735,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
CICERO AND WASHINGTON,1891,100 N CICERO AVENUE,11/27/2014,9,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)"
111TH AND HALSTED,2422,11100 S HALSTED ST,11/27/2014,10,1172923.657689312,1831209.044179248,41.692263123,-87.642522688,"(41.692263123425136, -87.6425226876268)"
KEDZIE AND 26TH,2382,2600 S KEDZIE AVENUE,11/27/2014,4,1155404.235510285,1886524.460033054,41.844424831,-87.705185452,"(41.84442483084393, -87.70518545233183)"
CENTRAL AND DIVERSEY,1642,2800 N CENTRAL AVENUE,11/27/2014,3,1138516.407377375,1918089.499227987,41.931365552,-87.766396529,"(41.93136555236339, -87.76639652879172)"
COTTAGE GROVE AND 95TH,2603,800 E 95TH STREET,11/27/2014,7,1183230.529909316,1842186.614201556,41.722153939,-87.604447736,"(41.72215393877189, -87.60444773564429)"
BELMONT AND KEDZIE,1372,3200 N KEDZIE AVE,11/27/2014,1,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)"
75TH AND STATE,2621,7500 S STATE STREET,11/27/2014,5,1177538.763040612,1855235.551345519,41.758092176,-87.624902228,"(41.75809217638291, -87.6249022282473)"
STONEY ISLAND AND 79TH,2464,1600 E 79TH ST,11/27/2014,2,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)"
CENTRAL AND IRVING PARK,1182,4000 N CENTRAL AVENUE,11/27/2014,1,1138258.614129764,1926071.172884932,41.953272751,-87.767150151,"(41.95327275103541, -87.76715015131407)"
ASHLAND AND 87TH,2454,1600 W 87TH ST,11/27/2014,5,1167171.941297436,1847064.855345151,41.735898617,-87.663128781,"(41.735898617066006, -87.66312878090133)"
CERMAK AND PULASKI,2334,4000 W CERMAK,11/27/2014,5,1150018.476053666,1889120.238540361,41.851654369,-87.724882975,"(41.85165436867626, -87.7248829753078)"
WESTERN AND FOSTER,1072,5200 N WESTERN AVE,11/27/2014,2,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)"
WESTERN AND FOSTER,1074,2400 W FOSTER AVE,11/27/2014,1,1159379.402846887,1934502.712486132,41.97600019,-87.689275084,"(41.97600018976586, -87.68927508385399)"
CICERO AND 47TH,2204,4800 W 47TH ST,11/27/2014,4,1145130.048925744,1873078.44198302,41.807727017,-87.743229366,"(41.80772701677172, -87.74322936566276)"
ELSTON AND FOSTER,1062,5200 N ELSTON AVENUE,11/27/2014,1,1142327.864249356,1934110.317720717,41.975258095,-87.751990557,"(41.97525809526954, -87.75199055715778)"
79TH AND HALSTED,2541,7900 S HALSTED STREET,11/27/2014,3,1172298.707400847,1852444.344822186,41.750549559,-87.644188368,"(41.750549559438944, -87.64418836784098)"
LAKE SHORE DR AND BELMONT,1412,3200 N LAKESHORE DRIV,11/27/2014,15,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)"
PETERSON AND WESTERN,1014,2400 W PETERSON,11/27/2014,2,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)"
KEDZIE AND ARMITAGE,1834,3200 W ARMITAGE AVENUE,11/27/2014,2,1154700.851347995,1913153.252187904,41.917511023,-87.707053639,"(41.91751102291878, -87.7070536388797)"
PULASKI AND ARMITAGE,1843,4000 W ARMITAGE AVENUE,11/27/2014,3,1149375.428872108,1913028.984273181,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
KEDZIE AND 71ST,2354,3200 W 71ST STREET,11/27/2014,3,1156246.862901455,1857404.014959868,41.764497433,-87.702877023,"(41.76449743256955, -87.70287702335861)"
ELSTON AND LAWRENCE,1284,4440 W LAWRENCE AVENUE,11/27/2014,1,1145715.061027481,1931571.0474838,41.968226398,-87.739599251,"(41.96822639754791, -87.73959925065756)"
CLARK AND FULLERTON,1632,2400 N CLARK ST,11/27/2014,4,1172749.562209477,1916238.997132859,41.925597623,-87.640650973,"(41.925597623023144, -87.64065097309872)"
MILWAUKEE AND MONTROSE,1364,5075 W MONTROSE AVENUE,11/27/2014,6,1141716.746618898,1928736.076639057,41.960522088,-87.754371424,"(41.96052208819935, -87.75437142402293)"
CALIFORNIA AND PETERSON,1313,2800 W PETERSON AVENUE,11/27/2014,5,1156569.515341857,1939784.830544118,41.990552082,-87.699464396,"(41.990552081681564, -87.69946439622785)"
CICERO AND HARRISON,2023,4800 W HARRISON STREET,11/27/2014,2,1144451.867388303,1896949.561959463,41.873245464,-87.745117179,"(41.873245464379586, -87.7451171788807)"
119TH AND HALSTED,2402,11900 S HALSTED,11/27/2014,1,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)"
111TH AND HALSTED,2424,800 W 111TH ST,11/27/2014,1,1172945.404219168,1831282.917027882,41.692465363,-87.642440901,"(41.692465363421874, -87.64244090105778)"
IRVING PARK AND KEDZIE,1354,3200 W IRVING PARK ROAD,11/27/2014,5,1154325.140302006,1926458.463197156,41.954029047,-87.708077494,"(41.95402904691877, -87.70807749383191)"
CORNELL DRIVE AND 57TH,2181,5700 S CORNELL DRIVE,11/27/2014,2,1188165.732740433,1867529.196427323,41.791580204,-87.585564215,"(41.79158020433135, -87.58556421519536)"
HARLEM AND BELMONT,1391,3200 N HARLEM AVE,11/27/2014,3,1127481.020995451,1920467.613239239,41.938084468,-87.806896749,"(41.93808446822169, -87.80689674887883)"
ASHLAND AND FULLERTON,1652,2400 N ASHLAND AVENUE,11/27/2014,5,1165228.073342838,1916032.319169157,41.92519389,-87.668294363,"(41.92519388981048, -87.66829436339881)"
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,11/27/2014,4,,,,,
MILWAUKEE AND DEVON,1272,6400 N MILWAUKEE AVEN,11/27/2014,2,1132463.750397878,1942107.911507627,41.997382173,-87.788077674,"(41.99738217345368, -87.78807767391953)"
WESTERN AND CERMAK,1003,2400 W CERMAK ROAD,11/27/2014,1,1160678.000607329,1889375.645335924,41.852141307,-87.685752642,"(41.85214130680468, -87.6857526415569)"
CERMAK AND PULASKI,2332,2200 S PULASKI,11/27/2014,2,1150012.876838243,1889071.75851865,41.851521442,-87.724904787,"(41.85152144233116, -87.7249047867499)"
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,11/27/2014,1,,,,,
CICERO AND CHICAGO,1783,4800 W CHICAGO AVENUE,11/27/2014,3,1144175.291152764,1904916.255225279,41.895112219,-87.745932427,"(41.89511221857764, -87.74593242701515)"
HALSTED AND MADISON,1872,1 N HALSTED STREET,11/27/2014,1,1171090.967986833,1900270.454015136,41.881815632,-87.647214717,"(41.88181563164203, -87.64721471704077)"
PULASKI AND IRVING PARK,1572,4000 N PULASKI ROAD,11/27/2014,1,1148970.255325552,1926313.600468643,41.953737051,-87.727766612,"(41.95373705144353, -87.72776661179896)"
WESTERN AND NORTH,1853,2400 W NORTH AVE,11/27/2014,3,1160100.839010995,1910612.783367238,41.910429862,-87.687284221,"(41.91042986235867, -87.68728422050837)"
HALSTED AND NORTH,1761,1600 N HALSTED STREET,11/27/2014,1,1170678.283433825,1910880.991397547,41.910940644,-87.648419043,"(41.91094064391597, -87.64841904272998)"
KEDZIE AND 31ST,2132,3100 S KEDZIE AVENUE,11/27/2014,2,1155483.167539854,1883867.660503274,41.837132671,-87.704967115,"(41.837132671422296, -87.70496711478727)"
CALIFORNIA AND DEVON,1323,2800 W DEVON AVENUE,11/27/2014,2,1156484.528078038,1942377.980662191,41.997669523,-87.699706423,"(41.99766952286052, -87.69970642324591)"
71ST AND ASHLAND,2394,1600 W 71ST,11/27/2014,4,1166890.012333149,1857674.2502247,41.765018306,-87.66385923,"(41.76501830555763, -87.66385923012646)"
ROOSEVELT AND HALSTED,2233,800 W ROOSEVELT ROAD,11/27/2014,5,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
HALSTED AND 63RD,2691,6300 S HALSTED STREET,11/27/2014,4,1172011.176373021,1863049.419962901,41.7796575,-87.644930993,"(41.77965750036339, -87.64493099278877)"
