,pole_id,sum_trans_amt,combined_parking_meter_data
110110,5-2020,275,4559
110136,5-2021,35,32065
110235,5-205,775,111543
110355,5-206,400,91045
110470,5-207,250,94558
110587,5-208,275,95847
110701,5-209,375,111243
110817,5-210,815,103654
110927,5-2100,475,35415
111018,5-2102,505,25290
111108,5-2104,670,39534
111211,5-2108,250,22497
111286,5-211,125,102536
111401,5-2110,120,12300
111479,5-2112,1225,21115
111564,5-2114,350,17110
111648,5-2119,125,57058
111755,5-212,125,73455
111871,5-2121,450,32419
111968,5-2122,120,33769
112069,5-2123,120,29735
112164,5-2125,560,38973
112268,5-213,700,106724
112376,5-214,300,100699
112488,5-215,25,100951
112604,5-217,1175,113028
112718,5-219,50,111577
112832,5-2200,25,22185
112949,5-2202,150,21305
113068,5-2210,405,81363
113181,5-2212,125,80955
113293,5-2214,20,74270
113402,5-2216,880,71438
113514,5-225,15,104263
113628,5-2300,700,59738
113741,5-2302,5,60509
113853,5-2304,470,57906
113961,5-2306,575,57717
114071,5-2307,105,58840
114182,5-2308,399,54498
114291,5-2309,585,68015
114405,5-2310,890,56177
114514,5-2311,750,63999
114624,5-2313,700,65546
114726,5-2316,350,45663
114822,5-2322,140,36500
114916,5-2406,570,93506
115032,5-2408,670,97413
115146,5-2410,825,93645
115263,5-2412,330,97088
115379,5-2414,475,94475
115487,5-2416,605,96119
115605,5-2418,315,90828
115720,5-2420,450,91050
115838,5-2422,25,94862
115958,5-2424,495,95284
116073,5-2502,675,88472
116188,5-2510,455,100337
116306,5-2512,25,94437
116422,5-2514,200,96787
116536,5-2516,140,97548
116649,5-2517,185,77407
116765,5-2519,45,48165
116882,5-2521,175,46105
116998,5-2522,680,92507
117113,5-2523,150,50775
117226,5-2613,250,103237
117341,5-2615,275,100213
117455,5-2616,125,93605
117569,5-2618,375,108372
117683,5-2620,125,111901
117801,5-2621,100,105134
117916,5-2623,375,105472
118031,5-2625,1125,108582
118144,5-2700,810,90444
118255,5-2702,225,83878
118366,5-2704,500,86324
118477,5-2706,680,84163
118590,5-2710,275,72179
118697,5-2712,335,73941
118799,5-2905,600,90633
118919,5-2907,470,87516
119038,5-2909,590,89022
119157,5-2911,675,76266
119274,5-2913,625,98135
119393,5-2919,670,94218
119512,5-300,460,96361
119617,5-3008,190,66567
119732,5-3010,160,87990
119847,5-3014,1155,94384
119960,5-302,1130,101232
120066,5-304,800,98471
120178,5-305,500,108395
120288,5-306,850,96578
120397,5-307,1085,104672
120505,5-308,615,92546
120614,5-309,675,79296
120722,5-310,710,95993
120832,5-3100,750,86735
120948,5-3102,485,83736
121057,5-311,1110,87438
121171,5-3112,540,86427
121283,5-3114,600,73562
121390,5-312,450,60618
121500,5-314,375,60219
121605,5-316,900,99020
121713,5-318,1135,99230
121823,5-320,214,90846
121932,5-3202,300,74869
122046,5-3204,345,66838
122160,5-3206,785,81343
122273,5-3207,100,64059
122383,5-321,25,85525
122494,5-3212,250,68661
122607,5-3215,50,52825
122722,5-3217,120,36924
122826,5-3218,350,47924
122941,5-3219,50,37653
123046,5-322,110,93633
123156,5-3221,100,38729
123265,5-324,780,99237
123376,5-326,625,108698
123489,5-3300,510,16750
123585,5-3302,390,15875
123663,5-3304,444,25174
123759,5-3314,400,13790
123827,5-3322,200,15435
123902,5-3400,285,44889
124009,5-3408,800,57471
124117,5-3410,400,57658
124222,5-3412,580,59577
124318,5-3413,25,25
124319,5-3415,995,84052
124435,5-3503,235,52435
124549,5-3505,50,52875
124663,5-3507,930,34508
124763,5-3509,750,79961
124875,5-3511,785,92733
124990,5-3513,825,96024
125108,5-3515,550,85548
125223,5-3517,965,90075
125340,5-3519,950,95733
125455,5-3535,845,96938
125572,5-3537,1190,95431
125690,5-3540,830,99494
125807,5-3542,625,98867
125928,5-3544,745,100073
126044,5-3546,835,107432
126162,5-3600,745,108322
126281,5-3601,250,112190
126396,5-3602,685,107795
126512,5-3603,855,106182
126629,5-3604,1050,104536
126746,5-3605,375,105089
126861,5-3606,630,47230
126977,5-3607,1100,114246
127095,5-3608,50,110997
127213,5-3609,875,109334
127330,5-3610,35,112506
127448,5-3611,840,112314
127566,5-3612,725,109423
127683,5-3613,75,108327
127800,5-3614,1025,112288
127921,5-3615,1045,116778
128039,5-3616,960,115405
128155,5-3618,615,90146
128271,5-3619,800,111923
128386,5-3620,1025,100927
128500,5-3622,1050,110531
128615,5-3624,1080,110356
128734,5-3625,1205,115088
128851,5-3626,925,107010
128970,5-3628,1180,114067
129086,5-3630,25,103427
129204,5-3632,800,109848
129324,5-3634,945,104378
129442,5-3636,85,105305
129559,5-3638,5,108501
129677,5-3640,900,110333
129794,5-3644,75,106172
129912,5-3646,575,98420
130027,5-3648,890,98033
130144,5-3650,740,100061
130259,5-3700,875,89980
130375,5-3703,970,107852
130489,5-3705,1035,107184
130608,5-3706,855,100445
130724,5-3708,625,92279
130839,5-3709,605,102452
130959,5-3710,125,88864
131074,5-3711,35,97316
131190,5-3712,815,90048
131306,5-3714,580,92421
131420,5-3717,85,102517
131537,5-3718,695,89171
131656,5-3719,25,105924
131774,5-3720,600,88373
131889,5-3722,950,97855
132005,5-3728,885,99437
132122,5-3730,500,95678
132240,5-3737,75,102066
132358,5-3739,1114,111709
132474,5-3744,915,100099
132585,5-3746,945,91348
132700,5-3748,825,86337
132813,5-3801,1079,114173
132932,5-3802,790,110416
133050,5-3803,790,111552
133169,5-3804,1000,109983
133286,5-3805,75,108057
133403,5-3806,25,111976
133522,5-3807,1055,111692
133642,5-3809,1050,108113
133760,5-3810,545,109707
133879,5-3811,925,106883
133997,5-3812,1115,105924
134112,5-3814,1080,109598
134230,5-3816,1090,105041
134346,5-3817,400,100727
134462,5-3818,1065,109245
134576,5-3819,10,108046
134696,5-3820,1145,113671
134812,5-3821,1070,112641
134927,5-3822,970,111580
135043,5-3823,600,100700
135158,5-3824,675,108257
135275,5-3826,745,111987
135393,5-3828,1025,105205
135508,5-3830,935,108698
135623,5-3832,1000,115644
135742,5-3902,75,122342
135857,5-3904,600,121285
135973,5-3906,1065,119955
136091,5-3909,1225,119516
136211,5-3911,75,117598
136328,5-3912,1365,119235
136442,5-3913,945,117204
136559,5-3914,950,118990
136678,5-3915,765,121022
136796,5-3916,1240,107912
136906,5-3917,5,113679
137027,5-3918,25,121023
137145,5-3920,100,123574
137262,5-3922,25,117192
137380,5-3923,940,118046
137498,5-3925,645,110068
137615,5-3926,1155,113700
137731,5-3927,880,108689
137850,5-3928,835,112456
137964,5-3929,1200,104080
138075,5-3930,1035,111920
138191,5-3931,664,103101
138307,5-3932,679,95592
138409,5-3933,1135,97054
138529,5-3934,1250,113178
138646,5-3935,95,36980
138751,5-3936,940,109883
138868,5-3938,1090,103059
138986,5-3940,230,99273
139099,5-400,650,101449
139213,5-400E,4865,106291
139247,5-4013,955,78426
139362,5-4015,940,69683
139472,5-402,150,109850
139589,5-404,1275,104635
139699,5-4047,50,100642
139817,5-4049,1265,98645
139930,5-4051,890,95806
140045,5-406,1150,107311
140161,5-408,875,106090
140273,5-410,1214,99008
140385,5-412,5,101499
140500,5-414,250,103471
140611,5-420,1050,103316
140725,5-422,1155,106163
140838,5-423,775,87123
140950,5-424,495,104979
141063,5-502,920,103935
141174,5-503,25,104722
141289,5-504,375,98508
141398,5-505,1025,96621
141514,5-506,855,104968
141630,5-508,485,104724
141744,5-510,495,105713
141855,5-511,1235,113109
141973,5-512,969,109199
142087,5-513,225,113653
142205,5-514,1140,113079
142321,5-515,925,115676
142436,5-516,510,111382
142550,5-517,25,113397
142668,5-518,50,96393
142768,5-520,25,107432
142886,5-523,250,100091
142997,5-602,405,113753
143110,5-604,250,113222
143224,5-605,845,92015
143338,5-606,1215,118067
143453,5-607,1010,86037
143564,5-608,430,111717
143679,5-609,715,119119
143795,5-611,750,116053
143913,5-613,760,116070
144027,5-615,315,114353
144144,5-616,490,116696
144258,5-617,50,112015
144373,5-618,250,113926
144487,5-620,1225,113521
144601,5-622,690,110724
144715,5-700,375,109211
144826,5-702,75,100122
144939,5-704,75,97351
145041,5-706,25,94682
145146,5-709,1090,98447
145261,5-711,769,102551
145374,5-713,530,100123
145486,5-715,250,96719
145600,5-717,1250,100825
145714,5-719,634,103605
145832,5-721,1225,102179
145943,5-723,925,104769
146058,5-804,485,107023
146167,5-806,1020,110012
146280,5-808,1025,116779
146394,5-810,575,110035
146511,5-812,610,105073
146622,5-813,25,109512
146734,5-815,1125,117672
146847,5-817,130,117114
146962,5-819,430,104379
147074,5-820,1365,110124
147190,5-821,1090,98708
147304,5-822,850,101218
147417,5-824,120,104381
147534,5-900,435,47610
147634,5-902,525,90903
147744,5-904,840,90536
147852,5-906,85,88775
147960,5-908,729,81475
148070,5-910,705,76267
148177,5-913,50,34300
148269,5-915,585,24850
148356,6-1011,1125,93012
148471,6-1013,75,81249
148585,6-1015,565,90202
148700,6-1300,230,55339
148810,6-1301,125,32429
148909,6-1302,120,63461
149020,6-1303,50,39958
149128,6-1304,125,55749
149237,6-1305,235,39202
149341,6-1306,100,57169
149452,6-1307,300,51905
149560,6-1308,385,50433
149666,6-1309,200,56730
149781,6-1311,250,43842
149895,6-1317,485,68764
150011,6-1318,570,70540
150121,6-1319,680,60086
150233,6-1320,250,68394
150344,6-1321,875,79413
150458,6-1322,440,66072
150569,6-1401,50,87265
150688,6-1403,655,95511
150808,6-1409,575,14729
150832,6-1410,710,93073
150949,6-1411,250,275
150951,6-1414,735,91807
151063,6-1416,1045,92339
151174,6-1418,1025,91072
151288,6-1502,250,81296
151398,6-1506,1205,84337
151509,6-1510,350,78199
151617,6-1512,390,82718
151725,6-1514,55,85647
151830,6-1516,130,86153
151934,6-1520,25,73731
152034,6-1601,30,22925
152146,6-1603,30,23870
152257,6-1605,124,53603
152365,6-1606,100,88627
152479,6-1607,75,77324
152592,6-1608,260,77090
152705,6-1609,650,26246
152742,6-1710,355,40496
152842,6-1718,575,58135
152948,6-1720,55,49332
153055,6-1722,25,37777
153153,6-1724,250,32680
153233,6-1816,250,61839
153338,6-1818,394,61032
153442,6-216,460,82556
153557,6-218,725,94084
153669,6-220,550,100916
153781,6-222,725,97510
153897,6-224,1000,102848
154013,6-2302,300,79248
154124,6-2304,660,72829
154237,6-2306,320,74529
154346,6-2310,605,73327
154457,6-2320,55,53628
154564,6-2322,150,53288
154663,6-2914,35,58668
154773,6-2916,365,40799
154873,6-2918,325,39238
154970,6-2920,75,38717
155070,6-2922,75,41298
155166,6-302,1235,103504
155284,6-304,855,97467
155391,6-3202,305,43129
155503,6-3204,440,28825
155601,6-3206,250,27364
155691,6-3208,250,20714
155763,6-3210,225,14640
155829,6-3212,225,10905
155888,6-3214,150,23065
155986,6-3701,580,104880
156100,6-3711,830,98239
156218,6-3713,980,106646
156335,6-3716,915,103363
156450,6-3717,905,110429
156567,6-3718,645,99947
156686,6-3719,810,110348
156803,6-3720,25,99739
156921,6-3721,50,111208
157038,6-3725,260,108726
157154,6-3730,825,104788
157273,6-3731,75,102277
157390,6-3732,630,97357
157506,6-3733,715,101694
157619,6-3734,720,97279
157737,6-3736,670,92939
157855,6-3739,710,89436
157972,6-3742,840,97240
158089,6-3744,715,92724
158203,6-3746,825,89567
158319,6-3748,580,81047
158433,6-3750,530,80386
158548,6-3803,25,70546
158660,6-3805,350,61681
158774,6-3807,600,59245
158889,6-3809,690,51522
159000,6-3811,695,51078
159112,6-3813,530,53577
159225,6-3815,405,45903
159331,6-3816,600,87359
159440,6-3817,465,58143
159554,6-3818,900,93024
159670,6-3819,445,56437
159785,6-3820,25,98942
159903,6-3821,680,62006
160017,6-3823,855,63121
160133,6-500E,225,339868
160249,6-500W,5505,993138
160370,6-602,1100,113382
160483,6-603,260,42565
160592,6-605,1180,107202
160703,6-607,25,109661
160819,6-612,765,112223
160930,6-614,1125,114770
161042,6-615,670,85185
161158,6-616,1215,115758
161275,6-617,915,71504
161390,6-618,700,111757
161505,6-619,625,91254
161621,6-620,1050,114158
161734,6-621,540,77775
161850,6-622,915,113705
161963,6-623,500,64343
162078,6-625,525,63259
162193,6-703,1150,103140
162306,6-705,650,104329
162420,6-707,1245,102839
162532,6-708,950,87834
162646,6-710,975,91153
162757,6-712,1180,94725
162872,6-714,1675,98856
162985,6-715,355,84484
163099,6-716,460,105576
163211,6-717,1150,109703
163325,6-719,1100,101179
163438,6-721,740,98805
163542,6-722,910,104177
163657,6-724,1285,104457
163767,6-800,1305,116599
163879,6-802,250,112042
163994,6-804,1175,96621
164104,6-805,1215,78002
164189,6-806,1025,101353
164304,6-807,975,81171
164389,6-813,525,71129
164479,6-817,875,85949
164591,6-819,1285,101293
164704,6-821,565,97858
164812,6-900,125,74259
164918,6-902,1035,87629
165029,6-903,605,91199
165141,6-904,570,94772
165253,6-905,125,89470
165369,6-906,445,89897
165482,6-907,150,81245
165599,6-908,450,90177
165708,6-909,809,103458
165828,6-910,2010,80577
165942,6-911,835,93569
166060,6-913,985,92393
166171,6-915,560,92926
166282,7-1000,75,19375
166339,7-1001,595,76514
166450,7-1002,115,29780
166547,7-1003,785,71328
166663,7-1004,650,50165
166768,7-1005,705,72100
166880,7-1006,1150,64202
166989,7-1007,495,60705
167095,7-1009,1070,65897
167202,7-1013,345,62228
167306,7-1015,610,57892
167416,7-1017,500,61655
167524,7-1021,210,66943
167633,7-1104,670,99818
167743,7-1106,1090,101094
167856,7-1112,525,108045
167969,7-1113,50,80792
168084,7-1114,25,109581
168198,7-1115,520,68180
168308,7-1116,735,106892
168419,7-1117,690,85039
168532,7-1118,490,104035
168647,7-1119,10,82152
168764,7-1121,575,79761
168876,7-1124,1210,91937
168988,7-1300,775,112128
169103,7-1301,750,111682
169216,7-1302,255,106068
169330,7-1304,890,102884
169444,7-1306,120,101679
169557,7-1308,545,94782
169671,7-1310,500,84569
169784,7-1311,525,108933
169900,7-1312,975,77280
170012,7-1313,800,90497
170125,7-1314,480,78206
170236,7-1315,20,82666
170347,7-1316,755,89243
170462,7-1317,830,84912
170576,7-1319,55,78484
170689,7-1320,375,75386
170804,7-1321,425,87658
170917,7-1400,300,82031
171027,7-1401,25,39964
171143,7-1402,375,87235
171256,7-1403,25,38970
171371,7-1405,65,50370
171485,7-1413,985,106465
171599,7-1415,250,94786
171711,7-1419,250,96539
171826,7-1421,350,86179
171939,7-1422,640,83168
172053,7-1423,35,81207
172170,7-1424,150,86084
172286,7-1425,500,93597
172402,7-3750,430,63894
172505,7-3751,75,56746
172618,7-3800,640,56757
172731,7-3802,650,53072
172842,7-3804,740,64434
172959,7-3806,350,65620
173076,7-3808,485,73963
173193,7-3810,680,67923
173310,7-3812,25,76556
173430,7-3814,430,76082
173547,7-3816,580,74820
173662,7-3818,650,68473
173774,7-3820,100,79903
173889,7-3822,780,82850
174006,7-3824,505,78051
174115,7-3826,380,94414
174232,7-3832,375,89934
174347,7-3834,820,78575
174454,7-507,1255,84488
174564,7-509,674,77993
174673,7-511,1000,75847
174780,7-513,865,75262
174882,7-515,869,71737
174986,7-517,1160,81694
175098,7-519,25,90057
175211,7-521,710,89590
175322,7-606,950,82047
175432,7-608,875,96146
175545,7-610,1005,98834
175658,7-615,905,98465
175769,7-617,530,109287
175883,7-618,75,99562
176000,7-620,1155,97822
176112,7-624,1060,105866
176227,7-700,855,91906
176342,7-702,999,86681
176459,7-703,535,84083
176570,7-705,800,74715
176681,7-707,1110,81819
176797,7-708,1050,79803
176913,7-715,515,63191
177023,7-717,430,60689
177134,7-719,645,60545
177245,7-720,1030,90966
177356,7-721,620,51357
177459,7-722,1075,88190
177569,7-723,590,65099
177681,7-724,1125,98843
177796,7-725,725,69867
177906,7-800,250,99325
178016,7-801,690,85798
178128,7-803,860,81308
178241,7-805,530,79504
178353,7-807,710,87137
178466,7-810,625,102433
178578,7-811,70,92099
178695,7-812,500,98049
178809,7-813,400,87486
178921,7-814,250,107821
179035,7-815,775,89009
179147,7-817,100,92815
179262,7-819,775,89795
179375,7-821,290,87058
179485,7-822,45,110784
179601,7-823,1025,89701
179716,7-824,200,103795
179828,7-901,755,66398
179936,7-902,565,46200
180023,7-903,505,66026
180127,7-904,570,38242
180185,7-905,455,79530
180303,7-906,905,31271
180359,7-907,480,69023
180470,7-908,815,29094
180524,7-913,415,72722
180639,7-915,280,78043
180752,8-1001,295,77888
180860,8-1003,30,74414
180965,8-1004,250,88899
181077,8-1006,160,82621
181185,8-1008,250,79166
181295,8-1009,755,44272
181368,8-1010,165,75725
181475,8-1015,635,69480
181582,8-1017,564,83100
181692,8-1019,675,74409
181801,8-1021,500,76252
181913,8-1101,650,53671
181995,8-1102,550,63377
182100,8-1103,775,71960
182210,8-1105,250,74254
182321,8-1107,225,74683
182425,8-1109,100,70271
182535,8-1111,275,83655
182644,8-1113,1125,79038
182752,8-1114,780,65553
182856,8-1115,870,73124
182962,8-1116,325,64819
183069,8-1117,5,86297
183181,8-1118,405,72610
183290,8-1119,575,79922
183402,8-1120,430,78278
183511,8-1121,125,79570
183621,8-1122,10,62294
183727,8-1203,875,71043
183806,8-1205,950,72496
183888,8-1209,350,88687
183981,8-1211,740,91574
184073,8-1213,750,80198
184165,8-1215,960,91185
184258,8-1219,475,78239
184347,8-1300,25,45779
184458,8-1302,10,40676
184568,8-1304,230,33059
184672,8-1306,630,45018
184775,8-1307,245,57729
184887,8-1309,195,53998
184999,8-1318,625,45410
185107,8-1320,150,37868
185211,8-1322,150,39849
185318,8-1324,125,29188
185427,8-1401,275,52402
185542,8-1402,415,88852
185658,8-1403,460,46388
185769,8-1404,455,85638
185883,8-1405,25,54799
185998,8-1406,350,90232
186111,8-1408,750,93640
186226,8-1409,500,53285
186341,8-1410,500,52944
186453,8-1411,450,51664
186568,8-1412,450,52709
186682,8-1413,365,50674
186793,8-1414,425,53055
186908,8-1415,390,50335
187020,8-1417,205,51659
187133,8-1419,480,51835
187247,8-1421,300,50715
187358,8-1423,130,51248
187473,8-1424,50,53688
187588,8-1425,325,52464
187703,8-1426,525,52821
187817,8-1427,450,51893
187929,8-1428,315,50215
188041,8-1429,475,50979
188154,8-1506,250,53582
188262,8-1508,675,28908
188331,8-1516,600,43638
188437,8-1518,575,26004
188527,8-1520,330,25865
188610,8-1522,25,13180
188669,8-1524,375,26429
188764,8-1526,125,27432
188854,8-1528,240,32749
188953,8-1530,500,37060
189050,8-1532,45,45718
189159,8-1534,75,43326
189261,8-400E,4000,250799
189374,8-404,410,12570
189456,8-410,280,72269
189566,8-412,870,69013
189672,8-414,1200,75420
189775,8-416,590,65747
189876,8-418,610,71358
189985,8-504,1000,66687
190071,8-509,620,99247
190187,8-511,850,89979
190296,8-514,925,100713
190408,8-516,725,80592
190518,8-518,1115,88261
190629,8-519,780,75258
190740,8-520,755,84690
190852,8-521,745,75616
190965,8-522,855,89903
191077,8-523,650,91598
191194,8-524,50,88335
191311,8-525,575,101240
191429,8-606,450,89232
191542,8-609,740,73438
191657,8-611,645,83620
191771,8-614,585,105105
191886,8-615,650,90424
192002,8-616,579,98252
192115,8-617,700,92989
192230,8-618,800,103979
192345,8-700,650,89268
192462,8-701,885,101994
192576,8-702,675,89075
192690,8-703,945,97791
192803,8-704,810,91672
192917,8-705,730,92512
193027,8-706,5,81360
193138,8-707,125,93551
193252,8-708,25,76719
193359,8-710,500,72953
193459,8-712,929,77054
193567,8-714,635,80622
193677,8-716,554,65665
193782,8-718,230,71109
193897,8-721,630,48546
194008,8-722,225,62643
194114,8-723,105,57882
194221,8-724,460,56579
194323,8-725,250,67886
194436,8-726,375,50159
194543,8-800,50,54753
194660,8-802,500,50299
194773,8-808,500,55147
194883,8-809,75,15770
194981,8-810,50,57088
195095,8-811,90,10525
195190,8-812,270,53081
195299,8-813,180,15480
195405,8-814,700,55119
195511,8-815,140,16245
195614,8-816,375,62188
195722,8-817,260,22890
195829,8-819,275,24620
195940,8-820,25,67402
196053,8-821,200,22025
196163,8-823,25,32189
196276,8-901,575,46523
196390,8-902,525,51104
196502,8-903,665,34637
196609,8-904,600,47672
196721,8-906,100,53465
196833,8-913,195,38245
196942,8-915,270,41003
197046,8-916,10,64231
197164,8-917,320,43602
197273,8-918,385,55248
197383,8-920,215,60956
197498,8-922,450,59083
197608,8-923,595,56616
197720,8-924,425,68679
197839,8-925,125,45420
197946,9-1000,700,61237
198060,9-1002,590,58274
198165,9-1008,290,56202
198273,9-1014,870,48757
198366,9-1016,740,48477
198455,9-1018,400,9240
198470,9-1024,435,49728
198557,9-1100,875,97700
198672,9-1103,265,16185
198692,9-1105,50,14364
198712,9-1107,165,13102
198733,9-1108,275,79206
198846,9-1110,730,70415
198957,9-1112,365,66512
199074,9-1114,75,78612
199186,9-1118,650,81277
199299,9-1120,995,76641
199403,9-1122,250,78418
199516,9-1200,685,86950
199631,9-1201,890,101517
199744,9-1203,855,106237
199859,9-1208,25,104498
199975,9-1210,1020,98795
200087,9-1212,1095,102359
200199,9-1218,950,99591
200310,9-1220,265,102217
200423,9-1300,125,69405
200538,9-1302,630,68702
200647,9-1304,375,78892
200764,9-1310,985,76106
200879,9-1312,470,68407
200990,9-1318,375,68870
201104,9-1320,525,51503
201210,9-1322,475,48657
201316,9-1324,305,36759
201417,9-1326,250,27320
201503,9-1412,125,48329
201609,9-1414,100,48295
201718,9-1416,170,48189
201826,9-1418,360,46485
201932,9-1420,240,47591
202041,9-1422,325,45499
202147,9-1426,280,45708
202254,9-412,790,105697
202365,9-414,645,100757
202477,9-500,1155,115926
202592,9-502,765,113465
202706,9-504,640,111125
202824,9-506,245,111298
202939,9-520,685,107549
203058,9-600,700,97601
203172,9-601,995,97434
203282,9-602,265,90273
203393,9-615,995,93830
203507,9-617,25,95921
203625,9-618,610,96284
203737,9-620,1065,101323
203851,9-702,650,83203
203966,9-704,375,89108
204075,9-706,625,92210
204188,9-707,735,89980
204302,9-708,750,89692
204414,9-709,675,89122
204526,9-710,900,82384
204636,9-711,730,85749
204747,9-712,300,71402
204852,9-713,635,76083
204966,9-719,775,61318
205069,9-720,595,67477
205171,9-721,600,71247
205273,9-723,720,66210
205375,9-725,120,54439
205461,9-803,30,69126
205579,9-805,605,75793
205696,9-807,410,75596
205810,9-809,425,78805
205924,9-810,575,66217
206039,9-811,855,82823
206154,9-812,645,63661
206264,9-813,469,81371
206381,9-814,25,68649
206492,9-815,675,78230
206603,9-816,700,73146
206711,9-817,860,87047
206824,9-818,800,72827
206936,9-819,775,90356
207052,9-820,975,67733
207166,9-821,845,88161
207281,9-901,125,63363
207389,9-902,770,57200
207503,9-903,565,78851
207613,9-904,850,55660
207724,9-906,170,54173
207837,9-908,760,57826
207945,9-910,555,58153
208054,9-912,80,60423
208161,9-914,270,64889
208277,9-916,625,59293
208379,9-920,614,58661
208489,9-922,480,50663
208605,9-924,370,45907
208715,9-926,495,51771
208830,A- 805,370,370
208831,A-106,220,84566
208943,A-108,250,83418
209050,A-110,510,87682
209163,A-112,95,77618
209272,A-200,1200,90871
209375,A-202,320,84703
209482,A-204,500,83745
209590,A-205,1000,71733
209697,A-206,304,95472
209805,A-208,500,92766
209912,A-209,500,54508
210024,A-210,360,83360
210133,A-212,450,91180
210246,A-214,185,62237
210349,A-2801,345,34165
210468,A-2803,260,26735
210577,A-300N,1910,727837
210694,A-300S,5225,734676
210808,A-400,225,55101
210917,A-407,150,54084
211030,A-409,90,48211
211140,A-411,685,55760
211250,A-413,85,52397
211360,A-415,265,55628
211473,A-501,80,18715
211574,A-502,750,54664
211686,A-504,175,56121
211794,A-506,30,55817
211896,A-510,230,43381
211998,A-514,550,56154
212107,A-516,590,40257
212211,A-600,165,42751
212318,A-601,550,73281
212433,A-603,310,69747
212547,A-605,225,70516
212658,A-607,420,67918
212769,A-609,270,76944
212884,A-614,850,45228
212984,A-700,455,85932
213095,A-702,665,84382
213206,A-708,225,81816
213314,A-710,135,80452
213425,A-712,125,77240
213534,A-714,729,75276
213642,A-800,80,18675
213739,A-806,130,19930
213831,A-807,394,57553
213920,A-808,170,16810
214000,A-809,1100,60185
214089,A-810,75,21484
214177,A-811,700,79081
214285,A-813,210,76034
214389,A-815,725,77911
214496,AD-2902,510,69375
214606,AD-2908,935,77867
214721,AD-2910,630,90035
214837,AD-2916,325,68835
214951,AD-3000,785,88482
215068,AD-3002,770,94967
215185,AD-3003,30,63029
215305,AD-3004,1045,103480
215422,AD-3005,910,101470
215538,AD-3007,1030,95758
215652,AD-3009,740,95363
215769,AD-3011,810,100116
215888,AD-3015,660,96612
216004,AD-3017,614,84967
216121,AD-3019,615,85391
216237,AD-3021,525,81082
216354,AD-3023,225,80288
216469,ADN-2912,25,11865
216562,ADN-2914,40,20830
216672,AH-109,100,85107
216781,AH-111,150,81831
216889,AH-113,905,63253
216981,AH-201,790,79016
217085,AH-203,1049,85657
217186,AH-204,605,68134
217293,AH-206,250,74353
217397,AH-208,655,77172
217501,AH-209,1175,84931
217606,AH-210,405,73700
217709,AH-211,820,81219
217813,AH-213,770,80648
217920,AH-215,890,86362
218025,AH-300,250,89763
218132,AH-303,1100,74657
218237,AH-305,890,82856
218344,AH-306,250,88566
218451,AH-307,850,71262
218553,AH-311,190,71449
218656,AH-312,25,96907
218763,AH-313,965,68568
218861,AH-314,695,84265
218965,AH-315,670,80784
219071,AH-400,225,81865
219181,AH-402,750,88671
219294,AH-403,430,87792
219405,AH-404,45,91424
219516,AH-405,850,84389
219624,AH-407,250,85083
219740,AH-410,350,96651
219851,AH-412,300,95667
219966,AH-413,250,88022
220069,AH-414,860,95846
220182,AH-501,660,47035
220288,AH-502,90,60645
220400,AH-503,275,50936
220511,AH-504,315,67441
220621,AH-505,210,51780
220725,AH-506,185,68912
220837,AH-507,25,50851
220948,AH-513,300,17859
221051,AH-515,175,56415
221163,AH-517,25,18425
221262,AH-604,150,27730
221367,AH-606,150,19885
221461,AH-613,400,41600
221577,AH-615,195,38525
221686,AH-703,160,41630
221801,AH-711,375,70873
221917,AH-713,125,61927
222031,AH-715,60,56930
222145,AL-4001,280,53539
222262,AL-4003,25,60379
222374,AL-4008,465,85941
222487,AL-4010,605,82163
222600,AL-4012,375,82326
222714,B-1000,225,65132
222819,B-1001,650,65430
222915,B-1002,775,70499
223026,B-1003,625,66331
223130,B-1004,480,70420
223235,B-1006,120,63811
223340,B-1009,1035,64855
223437,B-1010,500,64691
223543,B-1011,150,64872
223649,B-1012,5,38975
223764,B-1013,830,62922
223871,B-1014,295,30430
223983,B-1016,65,27220
224095,B-1101,135,36312
224193,B-1103,250,35879
224295,B-1109,135,37552
224396,B-1111,65,53722
224505,B-1113,445,49545
224617,B-1114,480,43132
224723,B-1115,175,52138
224831,B-1117,150,52490
224933,B-307,100,47637
225042,B-308,250,44589
225154,B-309,785,64120
225262,B-310,240,45460
225374,B-312,260,53854
225486,B-400,650,70153
225603,B-402,995,67646
225710,B-404,720,70877
225823,B-405,1010,83798
225941,B-406,745,66926
226052,B-407,200,84767
226168,B-609,125,81805
226281,B-611,645,83510
226392,B-613,600,95656
226503,B-615,375,88132
226618,B-703,525,64710
226729,B-713,400,64032
226846,B-715,340,41210
226959,B-717,190,33745
227068,B-800N,800,188135
227106,B-813,500,82019
227218,B-900,900,94788
227328,B-901,85,75795
227424,B-902,275,106406
227536,B-903,250,100389
227649,B-904,425,99905
227754,B-906,325,106613
227864,B-907,250,75974
227954,B-908,500,96995
228057,B-909,225,81778
228167,B-910,670,96235
228274,B-911,250,91758
228388,B-912,275,93474
228498,B-914,625,101898
228614,BE-201,250,16774
228662,BE-215,250,33573
228740,BE-217,950,23217
228795,BE-300,135,43439
228881,BE-302,250,41918
228958,BE-304,125,54668
229050,BE-306,250,44182
229145,BE-308,175,43982
229225,BE-310,450,49614
229313,BE-312,360,49104
229394,BE-314,555,43712
229468,BE-316,1095,66227
229565,BE-318,1299,59026
